summary_llmanswer,ground_truth,question,llm_answer
A,A,"in a botnet , what are the systems that tell individual bots what to do called ? a. c2 servers b.irc servers c.http servers d.isc2 servers","the correct answer is a. c2 servers are command and control servers . these are servers that can be used to provide management and control of bots in a botnet . the communication may be irc or http , but not necessarily . the servers aren ’ t called that in a botnet anyway . isc2 servers don ’ t exist ."
C,C,what is the primary difference between a worm and a virus ? a . a worm uses polymorphic code . b.a virus uses polymorphic code . c.a worm can self-propagate . d.a virus can self-propagate .,"the correct answer is c. both worms and viruses could be written to use polymorphic code , which means they could modify what they look like as they propagate . a worm , though , could self-propagate . it ’ s the one distinction between worms and viruses . viruses require some intervention on the part of the user to propagate and execute ."
C,C,what is one advantage of static analysis over dynamic analysis of malware ? a. malware is guaranteed to deploy . b.dynamic analysis is untrustworthy . c.static analysis limits your exposure to infection . d.static analysis can be run in virtual machines .,"the correct answer is c. static analysis is looking at the properties of the executable file and evaluating the assembly language code without running the program . this will limit your exposure to infection , because if you do it right you aren ’ t running the program , which would infect you . dynamic analysis is trustworthy , and malware can ’ t deploy if you don ’ t run it . dynamic analysis is commonly done in virtual machines ."
D,D,what would you use virustotal for ? a . checking your system for viruses b.endpoint protection c.as a repository of malware research d.identifying malware against antivirus engines,"the correct answer is d. virustotal takes dozens of antivirus engines and runs samples through them to identify what malware they might be . virustotal is a website , which means it can ’ t check your system for viruses and also can ’ t do any endpoint protection . while virustotal can identify the name given to a malware sample by different antivirus solutions , to find the research associated with that malware , you would need to check with the antivirus vendor ."
D,D,what are two sections you would commonly find in a portable executable file ? a . text and binary b.binary and data c.addresses and operations d.text and data,"the correct answer is d. pe files have multiple sections that you may find in an executable . two that are very common , though , are .text and .data . the .text section includes all the executable code . the .data section includes all the predefined and initialized variables . the other sections listed in other answers aren ’ t sections of a pe file ."
B,B,what could you use to generate your own malware ? a . empire b.metasploit c.rcconsole d.ida pro,the correct answer is b. metasploit can be used to generate your own malware from one of the payload modules . empire is another exploitation framework built around powershell . ida pro is a debugger and rcconsole doesn ’ t exist .
A,A,what is the purpose of a packer for malware ? a . to obscure the actual program b.to ensure that the program is all binary c.to compile the program into a tight space d.to remove null characters,"the correct answer is a . all programs that have been compiled are in binary . even scripting languages are in binary by the time they hit the processor . packers will make a program smaller , which was initially of some value when bandwidth wasn ’ t as ubiquitous , but a packer doesn ’ t do any compilation . a packer does not remove null characters . a packer can , however , obscure the actual program code because the only executable function is one designed to extract and decompress the real malware ."
C,C,what is the primary purpose of polymorphic code for malware programs ? a . efficiency of execution b.propagation of the malware c.antivirus evasion d.faster compilation,"the correct answer is c. polymorphic means many bodies , which means it has multiple looks . when a program has multiple looks , it can cause antivirus programs to misidentify it . polymorphic code rewrites the program when it is copied or moved from one system or location to another . it isn ’ t more efficient and doesn ’ t help with propagation , though it could be part of the propagation process . it also doesn ’ t speed compilation ."
B,B,what would be one reason not to write malware in python ? a. python interpreter is slow . b.python interpreter may not be available . c.library support is inadequate . d.python is a hard language to learn .,"the correct answer is b. python interpreters may be considered slower to execute than a compiled program , but the difference is negligible and speed of execution generally isn ’ t much of a concern when it comes to malware . python is not a hard language to learn , and there are a lot of community-developed libraries . one challenge , though , is that you may need a python interpreter unless you go through the step of getting a python compiler and compiling your script . windows systems wouldn ’ t commonly have a python interpreter installed ."
C,C,what would you use cuckoo sandbox for ? a. static analysis of malware b.malware development c.dynamic analysis of malware d.manual analysis of malware,"the correct answer is c. cuckoo sandbox is a set of programs and infrastructure used to run malware and identify changes to the system that result . this means it is used for dynamic analysis of malware , not for static analysis . because it ’ s automated , it ’ s not manual . also , it ’ s used for analysis , not development ."
B,B,"if you wanted a tool that could help with both static and dynamic analysis of malware , which would you choose ? a. cutter b.ida c.pe explorer d.malalyzer","the correct answer is b . you need a tool that can perform disassembly if you are doing static analysis . dynamic analysis can make use of disassembled executables , but the tool would need to also be able to execute the code . ida is the only tool there that does both disassembly and execution . cutter only does disassembly . pe explorer does neither , and malalyzer doesn ’ t exist ."
A,A,what is the purpose of using a disassembler ? a . converting opcodes to mnemonics b.converting mnemonics to opcodes c.translating mnemonics to operations d.removing the need for an assembler,"the correct answer is a . an executable contains a set of binary values that the cpu will interpret as operation codes ( opcodes ) when the program is run . these binary values won ’ t generally mean much to people when they are bare . as a result , disassemblers are used to convert opcodes to mnemonics , which are short/abbreviated words that can let someone know what the opcode does ."
C,C,what does the malware that is referred to as a dropper do ? a. drops antivirus operations b.drops cpu protections against malicious execution c.drops files that may be more malware d.drops the malware into the recycle bin,"the correct answer is c. a dropper downloads ( drops ) additional files , which may be malware . it doesn ’ t do any of the things mentioned in the other options ."
B,B,why would you use an encoder when you are creating malware using metasploit ? a . to compile the malware b.to evade antivirus c.to evade user detection d.to compress the malware,the correct answer is b . an encoder is used to alter the look of an executable file . this alteration is done in order to prevent the antivirus program from recognizing the executable as malware . it doesn ’ t compile the malware and doesn ’ t evade user detection . a packer would be used to compress malware .
B,B,"if you were to see the following command in someone ’ s history , what would you think had happened ? msfvenom -i 5 -p windows/x64/shell_reverse_tcp -o program a . a poison pill was created . b.a malicious program was generated . c.existing malware was encoded . d.metasploit was started .","the correct answer is b . the program msfvenom is used to convert a payload module from metasploit into an executable program . the malware could potentially be used as part of a poison pill , which is a type of defensive tactic , but it ’ s hard to determine that just from the command line . while the malware is encoded as part of this process , it is not an existing piece of malware . this is not a way to start metasploit , though msfvenom does make use of the metasploit framework ."
A,A,what is the difference between a virus and ransomware ? a. ransomware may be a virus . b.ransomware includes bitcoins . c.ransomware is only generated in russia . d.a virus only runs on windows systems .,"the correct answer is a . this is a bit of a trick question . ransomware may be a virus , which means it is a subset of the category virus . ransomware may ask to be paid in bitcoins , but it doesn ’ t include bitcoins . ransomware has been generated all over the world and viruses run on all operating systems ."
C,C,why would someone use a trojan ? a . it acts as malware infrastructure . b.it evades antivirus . c.it pretends to be something else . d.it ’ s polymorphic .,"the correct answer is c. a trojan , also called a trojan horse , appears to be one thing but is , in fact , another . it can fool users into running the malware because they are expecting something else . a trojan can ’ t evade antivirus if there is a signature that matches the executable . it doesn ’ t act as malware infrastructure , and while it may be polymorphic , that wouldn ’ t be why someone used a trojan ."
B,B,which of these tools would be most beneficial when trying to dynamically analyze malware ? a. cutter b.ollydbg c.metasploit d.av-test,"the correct answer is b . when you are trying to dynamically analyze malware , a debugger is useful because it allows you to run the malware and also control its execution . ollydbg is the only debugger in that list . cutter does disassembly but does not allow you to run the malware and control its execution ."
Client,Client,which end of a client/server communication goes on the infected system if it is communi- cating with infrastructure ?,"the correct answer is client . the malware would act as a client . the client is the end of the conversation that initiates the communication . it ’ s better to initiate from inside the network to get through firewalls , which may block inbound communication flows ."
D,D,which of these would be a reason why it is best for communications to originate from inside the infected network ? a. antivirus b.virtual machines c.intrusion detection d.firewall,"the correct answer is d. the firewall may block inbound communications , which is why it ’ s better for the communication to originate from the inside . either direction could be caught by intrusion detection . virtual machines don ’ t factor in here , and antivirus could catch the malware regardless of which direction the traffic is going , since antivirus uses the executable file rather than the communication stream for detection ."
C,C,which hardware vendor uses the term span on switches ? a. hp b.3com c.cisco d.juniper,"the correct answer is c. different vendors use different terms to refer to port mirroring . cisco uses the term switch port analyzer ( span ) , which leads to the process sometimes being called port spanning ."
B,B,"if you saw the following command line , what would you be capturing ? tcpdump -i eth2 host 192.168.10.5 a . traffic just from 192.168.10.5 b.traffic to and from 192.168.10.5 c.traffic just to 192.168.10.5 d.all traffic other than from 192.168.86.5","the correct answer is b . the expression host 192.168.10.5 is bpf , indicating that tcpdump should only capture packets to and from 192.168.10.5 . if you wanted to only get it to or from , you would need to modify host with src or dest ."
D,D,"in the following packet , what port is the source port ? 20:45:55.272087 ip yazpistachio.lan.62882 > loft.lan.afs3-fileserver : flags [ p. ] , seq 915235445:915235528 , ack 3437317287 , win 2048 , options [ nop , nop , ts val 1310611430 ecr 1794010423 ] , length 83 a. lan b.fileserver c.yazpistachio d.62882","the correct answer is d. tcpdump uses the format hostname/ip.port when it prints an address . the addresses go source > destination , so yazpistachio.lan is the hostname and 62882 is the port on the source address ."
A,A,what is one downside to running a default tcpdump without any parameters ? a. dns requests b.not enough information c.sequence numbers don ’ t show d.tcpdump won ’ t run without additional parameters,"the correct answer is a . by default , tcpdump does name resolution . not only does tcpdump look up port numbers and print their service names , it also triggers a dns lookup . this dns lookup is network traffic , which means that for most packets there is probably a dns lookup request showing in the packet capture ."
C,C,at which protocol layer does the berkeley packet filter operate ? a. internetwork b.transport c.data link d.protocol,"the correct answer is c. bpf operates at the data link layer . this allows filtering down to the mac address . if bpf operated at other layers , you wouldn ’ t get the entire set of packet headers ."
C,C,what do we call an arp response without a corresponding arp request ? a. is-at response b. who-has arp c.gratuitous arp d.ip response,"the correct answer is c. when an arp response is sent without a corresponding arp request , it ’ s an unexpected or unnecessary message . this makes it a gratuitous arp ."
C,C,"which functionality in wireshark will provide you with percentages for every protocol in the packet capture , ordered by protocol layers ? a . conversations b.endpoints c.protocol hierarchy d.statistics view","the correct answer is c. while conversations and endpoints are statistics you can get from wireshark , the protocol hierarchy view shows a layered look at all the protocols in the capture , showing percentages for all of the protocols ."
D,D,which program would you use if you wanted to only print specific fields from the captured packet ? a. fielddump b.tcpdump c.wiredump d.tshark,"the correct answer is d. while tcpdump and tshark can both be used to capture packets , tshark gives you the ability to specify which fields you want to output . the other two options don ’ t exist ."
C,C,the following shows a time stamp . what does the time of this message reflect ? 630 41.897644 192.168.86.210 239.255.255.250 ssdp 750 notify * http/1.1 [ ethernet frame check sequence incorrect ] a . the time since 1970 b.the time of day c.the time since packet start d.there is no time in the summary,"the correct answer is c. by default , wireshark shows a relative time since the start of the packet capture . you can change the field to show absolute time , such as the time of day or the time since 1970 ( epoch time ) . however , that ’ s not what is shown ."
D,D,what protocol is being used in the frame listed in this summary ? 719 42.691135 157.240.19.26 192.168.86.26 tcp 1464 → 61618 [ ack ] seq=4361 ack=1276 win=31232 len=1398 tsval=3725556941 tsecr=1266252437 [ tcp segment of a reassembled pdu ] 443 a. tls b.udp c.ip d.tcp,"the correct answer is d. after the frame number , time , source ip , and destination ip is the protocol . this frame shows tcp is the protocol in use ."
C,C,what program could be used to perform spoofing attacks and also supports plug-ins ? a. arpspoof b.fragroute c.ettercap d.sslstrip,the correct answer is c. arpspoof and ettercap can both be used to perform arp spoofing . ettercap also supports other types of spoofing attacks and plug-ins . sslstrip is a plug-in supported in ettercap . fragroute is a program that does something completely different .
C,C,what would you need to do before you could perform a dns spoof attack ? a . set up a port span b.start up wireshark c.arp spoof d.configure sslstrip,the correct answer is c. a dns spoofing attack requires that the program can see the dns request in order to respond to it . this means there needs to be an arp spoof in place so ettercap ( or another tool ) can get the traffic on the network to get the dns request to respond to .
A,A,which command-line parameter would you use to disable name resolutions in tcpdump ? a . -n b.-i c.-r d.-x,"the correct answer is a . the -i flag indicates which interface you are going to listen on . the -n flag tells wireshark to not do name resolution , leaving you with numeric values for the ip address and port number ."
B,B,why might you have more endpoints shown at layer 4 than at layer 2 ? a. layer 4 multiplexes layer 2 . b.systems may initiate multiple connections to the same host . c.ports are more numerous than mac addresses . d.the ip addresses dictate the endpoints .,"the correct answer is b . the number of mac addresses can be smaller than the number of layer 3 addresses because multiple ip addresses could be associated with a single mac address if the ip addresses are off network ; the mac address for those would be the gateway ’ s mac address . if a system opens multiple connections to the same system , as may happen when rendering a web page , there would be multiple port combinations for the same ip source and destination ."
A,A,what would you use sslstrip for ? a . getting plaintext traffic b.removing all ssl requests c.converting ssl to tls d.converting tls to ssl,"the correct answer is a. sslstrip is used to get plaintext traffic . it does not remove ssl requests , though it may be used to convert an https request to an http request . it does not convert ssl to tls or tls to ssl , and there would be no particular advantage to either of those tasks ."
B,B,why might you have problems with sslstrip ? a. sslstrip is deprecated . b.sslstrip doesn ’ t work with newer versions of tls . c.sslstrip doesn ’ t support tls . d.sslstrip only works with ettercap .,"the correct answer is b. sslstrip was released in 2009 and took advantage of problems in ssl . these problems not only existed in ssl but also continued through early versions of tls . newer versions of tls don ’ t have the same issues , which means sslstrip won ’ t work with them ."
A,A,what does the following line mean ? sequence number : 4361 ( relative sequence number ) a . the sequence number shown is not the real sequence number . b.the sequence number shown has not been incremented . c.the sequence number shown isn ’ t long enough . d.the sequence number shown is the acknowledgment number .,"the correct answer is a. wireshark presents a relative sequence number , which means the initial sequence number as far as wireshark is concerned in presenting it to you is 1 . the relative sequence number increments just as the real sequence number does . the real sequence number , which is a very large value , is hidden to make analysis easier ."
B,B,"what can you say about [ tcp segment len : 35 ] , as provided by wireshark ? a . the window size has changed . b.wireshark has inferred this information . c.wireshark extracted this from one of the headers . d.wireshark has additional detail below .",the correct answer is b . anything you see in wireshark that is in square brackets [ ] is something wireshark has calculated or inferred . it is not something that has been extracted directly from the packet capture . wireshark is helping with the packet analysis .
C,C,what problem does port spanning overcome ? a. switches don ’ t support layer 3 . b.switches aggregate ports . c.switches filter traffic . d.switches are unreliable .,"the correct answer is c. switches filter traffic by only sending traffic destined for the mac address associated with the port to which the system that owns the mac address is attached . switches are reliable . they don ’ t support layer 3 as switches , though there are such things as multilayer switches that include routing functionality . either way , that ’ s not something that port spanning overcomes . switches may aggregate ports , but port spanning doesn ’ t have anything to do with that ."
B,B,what is the /etc/ettercap/etter.dns file used for ? a . enabling firewall rules for ettercap b.configuring hostnames to ip addresses c.setting up mail for ettercap d.disabling arp spoofing in ettercap,the correct answer is b . the ipchains/iptables command to turn on redirection for ettercap is done in a different file . in the etter.dns file is the mapping of hostnames to ip addresses as well as other dns resource records .
A,A,you get a phone call from someone telling you they are from the irs and they are sending the police to your house now to arrest you unless you provide a method of payment imme- diately . what tactic is the caller using ? a. pretexting b.biometrics c.smishing d.rogue access,the correct answer is a. biometrics is the use of a physical attribute to provide authentication . smishing is using short message service ( sms/texting ) to gather information from people . rogue access isn ’ t really anything . pretexting is coming up with a believable story that you can use when trying to perform a social engineering attack on someone .
C,C,you are working on a red-team engagement . your team leader has asked you to use baiting as a way to get in . what are you being asked to do ? a . make phone calls b.clone a website c.leave usb sticks around d.spoof an rfid id,"the correct answer is c. baiting is leaving a lure out in order to gather targets . you could use usb sticks or cds around as bait if they had software on them that would run and “ infect ” the target system in a way that would give you control over them . while all of the other options are related to social engineering , none of them is called baiting ."
B,B,which of the social engineering principles is in use when you see a line of people at a ven- dor booth at a security conference waiting to grab free usb sticks and cds ? a . reciprocity b.social proof c.authority d.scarcity,"the correct answer is b . social proof is in use when it appears to be okay to engage in a behavior because you see others engaging in it . when people see a line of others waiting to grab usb sticks , in spite of knowing they shouldn ’ t trust usb sticks , they may be inclined to lower their defenses . there is no reciprocity or authority here . there may eventually be scarcity , but that ’ s not what would drive people to stand in line to acquire a potentially dangerous item ."
D,D,what is a viable approach to protecting against tailgaiting ? a. biometrics b.badge access c.phone verification d.man traps,"the correct answer is d. biometrics and badge access are forms of physical access control . phone verification could possibly be used as a way of verifying identity , but it won ’ t protect against tailgating . a man trap , however , will protect against tailgating because a man trap allows only one person in at a time ."
B,B,why would you use wireless social engineering ? a . to send phishing messages b.to gather credentials c.to get email addresses d.to make phone calls,"the correct answer is b . especially in enterprises , there is generally some authentication that happens . this could be in the form of a pre-shared key or a username/password combination . either way , when you are using social engineering of wireless networks , you are probably attempting to gather credentials to gain access to sites . it ’ s unlikely you ’ d use this vector for sending phishing messages or getting email addresses , and it wouldn ’ t be used to make phone calls ."
D,D,which social engineering principle may allow a phony call from the help desk to be effective ? a . social proof b.imitation c.scarcity d.authority,"the correct answer is d. while you might be imitating someone , imitation is not a social engineering principle . neither social proof nor scarcity are at play in this situation . however , if you are calling from the help desk , you may be considered to be in a position of authority ."
B,B,why would you use automated tools for social engineering attacks ? a . better control over outcomes b.reduce complexity c.implement social proof d.demonstrate authority,"the correct answer is b. it ’ s debatable whether you get better control over outcomes executing your attacks manually . you would not be implementing social proof or demonstrating authority using an automated attack any more than if you did it manually . you would be reducing complexity , though , since doing it manually means you would be setting up and controlling multiple moving pieces . this gets to be complex , and the attack would fail if you didn ’ t get it just right ."
A,A,what social engineering vector would you use if you wanted to gain access to a building ? a. impersonation b.scarcity c.vishing d.smishing,the correct answer is a. vishing and smishing are non-kinetic approaches to social engineering . scarcity is not a social engineering vector . impersonation is a social engineering vector and the one used to gain unauthorized access to a facility .
C,C,which of these would be an example of pretexting ? a . web page asking for credentials b.a cloned badge c.an email from a former co-worker d.rogue wireless access point,"the correct answer is c. if you sent an email posing as a former co-worker , you could be implementing a couple of different social engineering principles . because you have a story and a means to collect information fraudulently , you are using pretexting . the other attacks are also social engineering , but they are not pretexting ."
C,C,what tool could you use to clone a website ? a. httclone b.curl-get c.wget d.wclone,"the correct answer is c. wget is the only one of these options that is a legitimate program , and it can be used to clone a website ."
B,B,how would someone keep a baiting attack from being successful ? a . disable registry cloning . b.disable autorun . c.epoxy external ports . d.don ’ t browse the internet .,"the correct answer is b . while some people do epoxy usb ports to prevent usb sticks from being inserted , it ’ s not a good approach and wouldn ’ t necessarily keep a baiting attack from working if the bait is a cd-rom . browsing the internet is common and no longer doing that won ’ t protect you against baiting . registry cloning isn ’ t really a thing in this context . disabling autorun would keep any malicious software from running automatically from external devices ."
D,D,what statistic are you more likely to be concerned about when thinking about implement- ing biometrics ? a . false positive rate b.false negative rate c.false failure rate d.false acceptance rate,"the correct answer is d. a false acceptance rate measures how often a biometric system allows unauthorized users access to a facility or area . a false failure ( or reject ) rate is inconvenient , and some organizations may consider that to be an issue , especially if it ’ s very high . however , a high false accept rate is probably more concerning because you are allowing people who are really unauthorized to have access . the other two are not statistics that are measured ; though they correlate to the others , they are not called false positive rate or false negative rate ."
A,A,which of these forms of biometrics is least likely to give a high true accept rate while mini- mizing false reject rates ? a. voiceprint b.iris scanning c.retinal scanning d.fingerprint scanning,"the correct answer is a. voiceprint identification is the least reliable of these options . as a result , it would be the most likely to give you a high false reject rate , which would lower the true accept rate ."
D,D,what attack can a proximity card be susceptible to ? a. tailgating b.phishing c.credential theft d.cloning,"the correct answer is d. a proximity card could enable tailgating , but it ’ s not the only thing—a key could enable tailgating as well . technically , it ’ s not the card that allows tailgating anyway . it ’ s the way the doors are configured and implemented . phishing is unrelated , and technically , credential theft is as well . proximity cards , particularly if they use rfid tags , are susceptible to cloning ."
C,C,which form of biometrics scans a pattern in the area of the eye around the pupil ? a. retinal scanning b.fingerprint scanning c.iris scanning d.uvea scanning,"the correct answer is c. while the retina and the uvea are also parts of the eye , neither of them encloses the pupil and can be used as a means of identification . fingerprints are not part of the eye ."
A,A,what would the result of a high false failure rate be ? a . people having to call security b.unauthorized people being allowed in c.forcing the use of a man trap d.reduction in the use of biometrics,"the correct answer is a . a false acceptance rate would be allowing unauthorized people in . if you are an authorized person but your biometric scanner isn ’ t working reliably and rejects you , you may need to call security or someone else to let you into the building . neither of the other two would be a result of a high false failure rate . they may be solutions to other problems , but not a high false failure rate ."
B,B,"you ’ ve received a text message from an unknown number that is only five digits long . it doesn ’ t have any text , just a url . what might this be an example of ? a. vishing b.smishing c.phishing d.impersonation","the correct answer is b. smishing is short message phishing , which means someone is sending a text message , attempting to fraudulently gather information . vishing is a phone call ( voice ) . phishing can be an overall term but commonly refers to email . impersonation is more of a physical approach ."
A,A,what is an advantage of a phone call over a phishing email ? a . you are able to go into more detail with pretexting . b.phishing attacks are unreliable . c.not everyone has email but everyone has a phone . d.pretexting only works over the phone .,"the correct answer is a. pretexting can work over email just as well as via a phone call . it may be more common for people to have email than a phone , especially a company-owned landline . phishing attacks are very successful , which is why they are so commonly used . with a phone call , though , you could go into more detail and address questions or concerns as they arise . you could include additional layers that you couldn ’ t with an email since you could never be sure if your email was read , or deleted , or caught in a filter ."
B,B,"what is the web page you may be presented with when connecting to a wireless access point , especially in a public place ? a. credential harvester b.captive portal c.wi-fi portal d.authentication point",the correct answer is b . the captive portal is the page that is opened when you connect to a public access point . none of the other answers are real things .
C,C,what tool could you use to generate email attacks as well as wireless attacks ? a. meterpreter b.wifiphisher c.se toolkit d.social automator,"the correct answer is c. you may end up with a meterpreter interface to a remote system , but it wouldn ’ t be used to generate the attacks . wifiphisher is only used for wi-fi–based attacks and social automator doesn ’ t exist . the social-engineer toolkit ( se toolkit ) could be used to automate email attacks as well as wireless attacks ."
D,D,what are the two types of wireless networks ? a . star and ring b.bus and hybrid c.infrastructure and hybrid d.infrastructure and ad hoc,"the correct answer is d. an infrastructure wireless network is one that uses an access point . an ad hoc wireless network is one organized by the participants . these are the two types of wireless networks . star , ring , bus , and hybrid are all wired topologies ."
B,B,how many stages are used in the wpa handshake ? a . two b.four c.three d.one,the correct answer is b . there are four stages used in a wpa handshake . this four-stage process is used to derive the key and agree on capabilities .
B,B,what mode has to be enabled on a network interface to allow all headers in wireless traffic to be captured ? a. promiscuous b.monitor c.radio d.wireless lan,"the correct answer is b. promiscuous mode is used on network interfaces to collect frames that are not destined for the network interface . this is insufficient on a wireless network because the radio headers are not captured . to capture radio headers , monitor mode needs to be enabled in addition to the promiscuous mode that will always be set to get all frames and all information from the frame . only monitor mode gives the radio headers ."
C,C,what wireless attack would you use to take a known piece of information in order to be able to decrypt wireless traffic ? a. sniffing b.deauthentication c.key reinstallation d.evil twin,"the correct answer is c. sniffing can be used to collect information that may be needed to launch wireless attacks . a deauthentication attack can be used to force a station to generate traffic . an evil twin attack uses a rogue access point to pretend to be a legitimate network . in order to decrypt network traffic , you would need the key . one way to get the key is to reuse information from network traffic that generated a known key . this is a key reinstallation attack ."
C,C,what is the purpose of performing a bluetooth scan ? a. identifying open ports b.identifying available profiles c.identifying endpoints d.identifying vendors,"the correct answer is c. bluetooth doesn ’ t use ports . while profiles are important , you get the profile capabilities during the pairing process . just performing a scan won ’ t get you a list of supported profiles . while you should be able to identify vendors as part of the process of running a bluetooth scan , it ’ s not the purpose of the scan . the purpose is to identify endpoints and their associated addresses so you can run other attacks on them ."
B,B,what is the purpose of a deauthentication attack ? a. disabling stations b.forcing stations to reauthenticate c.reducing the number of steps in the handshake d.downgrading encryption,"the correct answer is b . the purpose of a deauthentication attack is to force stations to reauthenticate . this allows the attacker to collect information from the authentication and handshake . this information could be used later to potentially derive the key , as in wep transmissions . a deauthentication attack doesn ’ t disable stations . there is no way to reduce the number of steps in a handshake , and downgrading encryption is considerably harder , if it ’ s possible at all ."
A,A,what is the policy that allows people to use their own smartphones on the enterprise network ? a . bring your own device b.use your own device c.bring your own smart device d.use your own smart device,the correct answer is a . bring your own device ( byod ) is a policy that allows employees to use their own devices on an enterprise network . this opens the door to the potential for attacks from unknown and unexpected devices . none of the other answers are real things .
C,C,what part of the encryption process was weak in wep ? a. keying b.diffie-hellman c.initialization vector d.seeding vector,"the correct answer is c. the initialization vector is a random value that seeds the key used for encryption and decryption . in wep , the algorithm specified for the initialization vector yielded non- random , predictable values . while the initialization vector is part of keying , it ’ s not the keying itself that was weak . seeding vector is not a real thing , and diffie-hellman is a process used to derive and exchange keys securely . it ’ s not part of wep ."
B,B,what is the four-stage handshake used for ? a . passing keys b.deriving keys c.encrypting messages d.initialization seeding,"the correct answer is b . the four-stage handshake is used to authenticate stations against wireless networks . as part of the handshake , encryption keys are generated . keys are derived on both sides of the transaction rather than being exchanged directly . this is handled during the four-way handshake . keys are not passed . messages can ’ t be encrypted until the four-way handshake is complete and the keys are generated . there is no such thing as initialization seeding ."
C,C,what is the ssid used for ? a. encrypting messages b.providing a mac address c.identifying a network d.seeding a key,"the correct answer is c. the service set identifier ( ssid ) is used to identify a network . it is the name of the network you would select when you were trying to connect to a network . the ssid is not the mac address , and it has nothing to do with keys or encryption ."
D,D,what kind of access point is being used in an evil twin attack ? a. infrastructure b.ad hoc c.wpa d.rogue,"the correct answer is d. ad hoc and infrastructure are types of wireless networks . only infrastructure uses access points , but infrastructure is not a type of access point . wpa is an encryption protocol . a rogue access point , meaning one that isn ’ t legitimate , is used in an evil twin attack by pretending to be a legitimate access point ."
B,B,how does an evil twin attack work ? a. phishing users for credentials b.spoofing an ssid c.changing an ssid d.injecting four-way handshakes,"the correct answer is b . an evil twin attack uses an access point masquerading as the point of connection for stations trying to connect to a legitimate wireless network . stations reach out to make connections to this access point masquerading as another access point . while you may phish for credentials as part of an evil twin attack , credential phishing is not how evil twin attacks work . ssids don ’ t get changed as part of an evil twin attack , meaning no ssid that exists will become another ssid . injecting four-way handshakes won ’ t do much , since four- way assumes both ends are communicating , so the injection of a full communication stream will get ignored ."
C,C,what method might you use to successfully get malware onto a mobile device ? a . using the apple store or google play store b.using external storage on an android c.using a third-party app store d.jailbreaking,"the correct answer is c. the apple app store and the google play store are controlled by apple and google . it ’ s not impossible to get malware onto mobile devices through them , but it ’ s very difficult because apps get run through a vetting process . while some android devices will support external storage , it ’ s not an effective way to get malware onto a smartphone or other mobile device . jailbreaking can lead to malware being installed , but it ’ s not the means to get malware onto a mobile device . third-party app stores can be a good means to get malware onto mobile devices because some third-party app stores don ’ t vet apps that are submitted ."
B,B,what would you use a bluebugging attack for ? a. identifying bluetooth devices nearby b.listening to a physical space c.enabling a phone ’ s camera d.gathering data from a target system,the correct answer is b . a bluebugging attack is used to gain access to a smartphone in order to initiate a call out to the attacker ’ s phone . this allows the attacker to listen to anything happening around the phone owner . scanning is used to identify bluetooth devices nearby . there is no particular attack used to enable a phone ’ s camera . gathering data from a target device or system is bluesnarfing .
A,A,"what would a signal range for a bluetooth device commonly be ? a . 300 ft. b.3,000 ft. c.75 ft. d.500 ft .","the correct answer is a . while there are bluetooth devices that will transmit much further , a common range is about 300 feet ( 100 meters ) for bluetooth 4.0 ."
D,D,what tool could you use to enable sniffing on your wireless network to acquire all headers ? a. ettercap b.tcpdump c.aircrack-ng d.airmon-ng,"the correct answer is d. tcpdump can be used to capture frames/packets . ettercap is used for captures and spoofing attacks . neither can capture all headers , including radio headers in a wireless network . the package aircrack-ng includes the program airmon-ng , which can turn on monitor mode on a network interface . the program aircrack-ng itself can not do that ."
B,B,why is bluesnarfing potentially more dangerous than bluejacking from the standpoint of the victim ? a. bluejacking sends while bluesnarfing receives . b.bluejacking receives while bluesnarfing sends . c.bluejacking installs keyloggers . d.bluesnarfing installs keyloggers .,"the correct answer is b. bluesnarfing is an attack that connects to a bluetooth device in order to grab data from that device . bluesnarfing sends data to the attacker . bluejacking can be used to send information to a bluetooth device , such as a text message . neither of these attacks install keyloggers ."
C,C,what tool would allow you to run an evil twin attack ? a. wireshark b.ettercap c.wifiphisher d.aircrack-ng,"the correct answer is c. wireshark is used to capture packets/frames from a network . ettercap is used for spoofing attacks . the program aircrack-ng can be used to crack wireless keys . wifiphisher , though , can be used to set up an evil twin attack ."
B,B,what types of authentication are allowed in a wpa-encrypted network ? a. handshake and personal b.personal and enterprise c.enterprise and handshake d.802.11 and personal,"the correct answer is b. wpa supports both personal and enterprise authentication . personal authentication makes use of a pre-shared key , while enterprise authentication uses usernames and passwords to authenticate specific users , providing accounting and access control , meaning we know exactly who has connected to the network ."
D,D,what wouldn ’ t you see when you capture wireless traffic that includes radio headers ? a . capabilities b.probe requests c.ssids d.network type,"the correct answer is d. radio headers in a wireless network will provide you with the capabilities of the devices , since that ’ s negotiated during the association process . you will also see probe requests asking what networks are in the area , including specific networks that a station knows about . these requests will include the ssid . the responses will also include the ssid . you will not get the network type in the headers ."
B,B,what protocol is used for a smurf attack ? a. dns b.icmp c.tcp d.smtp,"the correct answer is b . while dns is also used for amplification attacks , smurf attacks are a result of someone sending icmp echo requests to the broadcast address of a network . the echo responses would be sent to the address in the source of the request , which would be spoofed . if enough systems respond , the volume of responses can overwhelm the target system ."
