index,summary_llmanswer,ground_truth,is_correct,Reason_1,Reason_2,Reason_3,question,llm_answer
24,"B, D","B, D",1,"A and C are both incorrect because they list the terms backward. Threats take advantage of vulnerabilities and exploit them, not the other way around.",,,"A machine in your environment uses an open X-server to allow remote access. The X-server access control is disabled, allowing connections from almost anywhere and with little to no authentication measures. Which of the following are true statements regarding this situation? (Choose all that apply.) 
A. An external vulnerability can take advantage of the misconfigured X-server threat. 
B. An external threat can take advantage of the misconfigured X-server vulnerability. 
C. An internal vulnerability can take advantage of the misconfigured X-server threat. 
D. An internal threat can take advantage of the misconfigured X-server vulnerability.","The correct answer is B, D.
 This is an easy one because all you have to understand are the definitions of threat and vulnerability. A threat is any agent, circumstance, or situation that could potentiality cause harm or loss to an IT asset. In this case, the implication is the threat is an individual (hacker) either inside or outside the network. A vulnerability is any weakness, such as a software flaw or logic design, that could be exploited by a threat to cause damage to an asset. In both these answers, the vulnerability—the access controls on the X-server are not in place—can be exploited by the threat, whether internal or external."
25,B,B,1,"A is incorrect because TTP refers to tactics, techniques, and procedures, which are the patterns of activity and methods associated with specific adversaries.",C is incorrect because APT refers to advanced persistent threat—a threat actor who gains unauthorized access to a resource and remains undetected for an extended period.,"D is incorrect because ABI refers to adversary behavioral identification, which involves efforts in identifying the common methods and techniques followed by adversaries.","Which of the following best describes forensic evidence indicating a potential intrusion or malicious activity? 
A. TTP 
B. IOC 
C. APT 
D. ABI","The correct answer is B.
 An indicator of compromise (IOC) describes the little clues and artifacts left behind on a resource that can indicate malicious intrusion or activity. Their existence in and of themselves might not mean anything; however, searching for known IOCs in your network can be a valuable security exercise to undertake. IOCs can come in many forms, some of which include privileged user activity anomalies, strange DNS requests, conflicting port application traffic, unusual registry or system file changes, and suspect web traffic and unusual network activity."
26,B,B,1,,,,"Which header field is used to reassemble fragmented IP packets? 
A. Destination address 
B.IP identification 
C.Don’t fragment bit 
D.ToS field","The correct answer is B.
 The destination address is used as the address to send messages to. The don’t fragment bit is used to tell network devices not to fragment the packet. The Type of Service (ToS) field can be used to perform quality of service. The IP identification field is used to identify fragments of the same packet, as they would all have the same IP identification number."
27,C,C,1,,,,"If you were to see the following in a packet capture, what would you expect was happening? ‘ or 1=1; 
A. Cross-site scripting 
B.Command injection 
C.SQL injection 
D.XML external entity injection","The correct answer is C.
 A SQL injection attack makes use of SQL queries, which can include logic that may alter the flow of the application. In the example provided, the intent is to force the result of the SQL query to always return a true. It is quoted the way it is to escape the existing query already in place in the application. None of the other attacks use a syntax that looks like the example."
28,C,C,1,,,,"What method might you use to successfully get malware onto a mobile device? 
A. Through the Apple Store or Google Play Store 
B.External storage on an Android 
C.Third-party app store 
D.Jailbreaking","The correct answer is C.
 The Apple App Store and the Google Play Store are controlled by Apple and Google. It’s not impossible to get malware onto mobile devices that way, but it’s very difficult because apps get run through a vetting process. While some Android devices will support external storage, it’s not an effective way to get malware onto a smartphone or other mobile device. Jailbreaking can lead to malware being installed but it’s not the means to get malware onto a mobile device. Third-party app stores can be a good means to get malware onto mobile devices because some third-party app stores don’t vet apps that are submitted."
29,B,B,1,,,,"What protocol is used to take a destination IP address and get a packet to a destination on the local network? 
A. DHCP 
B.ARP 
C.DNS 
D.RARP","The correct answer is B.
 DHCP is used to get IP configuration to endpoints. DNS is used to resolve a hostname to an IP address and vice versa. RARP is the reverse address protocol used to take a MAC address and resolve it to an IP address. ARP is used to resolve an IP address to a MAC address. Communication on a local network requires the use of a MAC address. The IP address is used to get to systems off the local network."
30,C,C,1,,,,"What would be the result of sending the string AAAAAAAAAAAAAAAAA into a variable that has been allocated space for 8 bytes? 
A. Heap spraying 
B.SQL injection 
C.Buffer overflow 
D.Slowloris attack","The correct answer is C.
 Heap spraying uses dynamically allocated space to store attack code. A slowloris attack is used to hold open web server connection buffers. A SQL injection will be used to inject SQL queries to the database server. A buffer overflow sends more data into the application than space has been allocated for."
31,B,B,1,,,,"If you were to see the subnet mask 255.255.248.0, what CIDR notation (prefix) would you use to indicate the same thing? 
A. /23 
B./22 
C./21 
D./20","The correct answer is B.
 A /23 network would be 255.255.254.0. A /22 would be 255.255.252. A /20 would be 255.255.240.0. Only a /21 would give you a 255.255.248.0 subnet mask."
32,C,C,1,,,,"What is the primary difference between a worm and a virus? 
A. A worm uses polymorphic code 
B. A virus uses polymorphic code 
C. A worm can self-propagate 
D. A virus can self-propagate","The correct answer is C.
 Both worms and viruses could be written to use polymorphic code, which means they could modify what they look like as they propagate. A worm, though, could self-propagate. It’s the one distinction between worms and viruses. Viruses require some intervention on the part of the user to propagate and execute."
33,A,A,1,,,,"How would you calculate risk? 
A. Probability * loss 
B.Probability * mitigation factor 
C.(Loss + mitigation factor) * (loss/probability) 
D.Probability * mitigation factor","The correct answer is A.
 Risk is the probability of the occurrence of an event multiplied by the dollar value of loss. There is no mitigation factor that is quantified so it could be put into a risk ­calculation."
34,B,B,1,,,,"How does an evil twin attack work? 
A. Phishing users for credentials 
B.Spoofing an SSID 
C.Changing an SSID 
D.Injecting four-way handshakes","The correct answer is B.
 An evil twin attack uses an access point masquerading to be the point of connection for stations trying to connect to a legitimate wireless network. Stations reach out to make connections to this access point masquerading as another access point. While you may phish for credentials as part of an evil twin attack, credential phishing is not how evil twin attacks work. SSIDs don’t get changed as part of an evil twin attack, meaning no SSID that exists will become another SSID.
 Injecting four-way handshakes won’t do much, since four- way assumes both ends are communicating, so the injection of a full communication stream will get ignored."
35,C,C,1,,,,"In order to remove malware in the network before it gets to the endpoint, you would use which of the following? 
A. Antivirus 
B.Application layer gateway 
C.Unified threat management appliance 
D.Stateful firewall","The correct answer is C.
 Antivirus solutions are used on endpoints or maybe on email servers. Stateful firewalls add in the ability to factor in the state of the connection—new, related, established. An Application layer gateway knows about Application layer protocols. A unified threat management appliance adds additional capabilities on top of firewall functions, including antivirus."
36,A,A,1,,,,"What is the purpose of a security policy? 
A. Providing high-level guidance on the role of security 
B.Providing specific direction to security workers 
C.Increasing the bottom line of a company 
D.Aligning standards and practices","The correct answer is A.
 Standards and practices should be derived from a security policy, which is the high- level guidance on the role of security within an organization. Security does not generally increase the bottom line of a company. Policies are not for providing specific directions, which would be the role of procedures."
37,B. Base64 encoding takes non-printable characters and encodes them in a way that they can be rendered in text. Encryption would generally render text unreadable to people. A cryptographic hash is a way of generating a fixed-length value to identify a value. URL encoding takes text and uses hexadecimal values to represent the characters. This is text that has been converted into hexadecimal so they can be used in a URL.,B,B,1,,,What has been done to the following string? %3Cscript%3Ealert(‘wubble’),"The correct answer is %3C/ script%3E A.
 Base64 encoding B.
URL encoding C.
Encryption D.
Cryptographic hashing"
38,B,B,1,,,,"What would you get from running the command dig ns domain.com? 
A. Mail exchanger records for domain.com 
B.Name server records for domain.com 
C.Caching name server for domain.com 
D.IP address for the hostname ns","The correct answer is B.
 Mail exchanger records would be identified as MX records. A name server record is identified with the tag NS. While an enterprise may have one or even several caching name servers, the caching name server wouldn’t be said to belong to the domain since it doesn’t have any domain identification associated with it."
39,C,C,1,,,,"What technique would you ideally use to get all of the hostnames associated with a domain? 
A. DNS query 
B.Zone copy 
C.Zone transfer 
D.Recursive request","The correct answer is C.
 A DNS query can be used to identify an IP address from a hostname or vice versa. You could potentially use a brute-force technique to identify hostnames, though you may not get everything using that method. A recursive request is common from a caching server to get an authoritative response. The term for getting all the contents of the zone is a zone transfer."
40,A,A,1,,,,"If you were to notice operating system commands inside a DNS request while looking at a packet capture, what might you be looking at? 
A. Tunneling attack 
B.DNS amplification 
C.DNS recursion 
D.XML entity injection","The correct answer is A.
 Tunneling attacks can be used to hide one protocol inside another. This may be used to send operating system commands using a tunnel system. A DNS amplification attack is where a small DNS request results in much larger responses sent to the target. DNS recur- sion is used to look up information from DNS servers. An XML entity injection attack is a web-based attack and wouldn’t be found inside a DNS request."
41,D,D,1,,,,"What would be the purpose of running a ping sweep? 
A. You want to identify responsive hosts without a port scan. 
B.You want to use something that is light on network traffic. 
C.You want to use a protocol that may be allowed through the firewall. 
D.All of the above.","The correct answer is D.
 There may be several reasons for performing a ping sweep. You likely want to identify responsive hosts on the network segment you are targeting. You may not, though, want to use a full port scan. ICMP is a lightweight protocol and there is a chance it will be allowed through the firewall, since it’s used for troubleshooting and diagnostics."
42,C,C,1,,,,"How many functions are specified by NIST’s cybersecurity framework? 
A. 0 
B.3 
C.5 
D.4","The correct answer is C.
 The NIST cybersecurity framework specifies five functions—identify, protect, detect, response, recover."
43,B,B,1,,,,"What would be one reason not to write malware in Python? 
A. Python interpreter is slow. 
B.Python interpreter may not be available. 
C.There is inadequate library support. 
D.Python is a hard language to learn.","The correct answer is B.
 Python interpreters may be considered to be slower to execute than a compiled program, however the difference is negligible and generally speed of execution isn’t much of a con- cern when it comes to malware. Python is not a hard language to learn and there are a lot of community-developed libraries. One challenge, though, is that you may need a Python interpreter, unless you go through the step of getting a Python compiler and compiling your script. Windows systems wouldn’t commonly have a Python interpreter installed."
44,B,B,1,,,,"If you saw the following command line, what would you be capturing? tcpdump -i eth2 host 192.168.10.5 
A. Traffic just from 192.168.10.5 
B.Traffic to and from 192.168.10.5 
C.Traffic just to 192.168.10.5 
D.All traffic other than from 192.168.86.5","The correct answer is B.
 The expression host 192.168.10.5 is BPF indicating that tcpdump should only capture packets to and from 192.168.10.5. If you wanted to only get it to or from, you would need to modify host with src or dest."
45,C,C,1,,,,"What is Diffie-Hellman used for? 
A. Key management 
B.Key isolation 
C.Key exchange 
D.Key revocation","The correct answer is C.
 Certificates can be revoked but that’s not what Diffie-Hellman is used for. Key man­ agement is a much broader topic than what Diffie-Hellman is used for. Diffie-Hellman is used for key exchange. It is a process that allows parties to an encrypted conversation to mutually derive the same key starting with the same base value."
46,D,D,1,,,,"Which social engineering principle may allow a phony call from the help desk to be effective? 
A. Social proof 
B.Imitation 
C.Scarcity 
D.Authority","The correct answer is D.
 While you might be imitating someone, imitation is not a social engineering principle. Neither social proof nor scarcity are at play in this situation. However, if you are calling from the help desk, you may be considered to be in a position of authority."
47,D,D,1,,,,"How do you authenticate with SNMPv1? 
A. Username/password 
B.Hash 
C.Public string 
D.Community string","The correct answer is D.
 SNMPv3 implemented username and password authentication. With version 1, you used a cleartext community string. SNMP doesn’t use hashes and while the word “pub- lic” is often used as a community string, a public string is not a way to authenticate with SNMPv1."
48,A,A,1,,,,"What is the process Java programs identify themselves to if they are sharing procedures over the network? 
A. RMI registry 
B.RMI mapper 
C.RMI database 
D.RMI process","The correct answer is A.
 Interprocess communications across systems using a network is called remote method invocation. The process that programs have to communicate with to get a dynamic port allocation is the RMI registry. This is the program you query to identify services that are available on a system that has implemented RMI."
49,C,C,1,,,,"What do we call an ARP response without a corresponding ARP request? 
A. Is-at response 
B.Who-has ARP 
C.Gratuitous ARP 
D.IP response","The correct answer is C.
 When an ARP response is sent without a corresponding ARP request, it’s an unexpected or unnecessary message, so it is a gratuitous ARP."
50,D,D,1,,,,"What are the three times that are typically stored as part of file metadata? 
A. Moves, adds, changes 
B.Modified, accessed, deleted 
C.Moved, accessed, changed 
D.Modified, accessed, created","The correct answer is D.
 There are three date and time stamps commonly used in file metadata. When the file is created, that moment is stored. When a file is accessed by a user, that moment is stored. When a file is modified, that moment is stored. Accessed is not the same as modified since accessing a file could be read-only. You could open a file, expecting to modify it but not ending up doing the modification. The access time still changes. While moves, adds, and changes may sometimes be referred to as MAC like modified, accessed, and created, those are not tasks associated with file times."
51,C,C,1,,,,"Which of these is a reason to use an exploit against a local vulnerability? 
A. Pivoting 
B.Log manipulation 
C.Privilege escalation 
D.Password collection","The correct answer is C.
 Local vulnerabilities are used against applications that are not listening on the network. This means they require you to be “local” to the machine and not remote. In other words, you have to be logged in somehow. A local vulnerability would not be used to collect pass- words since you don’t need a vulnerability to do that. Similarly, you don’t need to make use of a vulnerability to manipulate logs or to pivot. Most of those would require you to have elevated permissions, though. A local vulnerability may be exploited to get you those elevated permissions."
52,A,A,1,,,,"What principle is used to demonstrate that a signed message came from the owner of the key that signed it? 
A. Non-repudiation 
B.Non-verifiability 
C.Integrity 
D.Authority","The correct answer is A.
 Integrity is part of the CIA triad but isn’t the principle that ties a signed message back to the subject of the signing certificate. Non-verifiability is nonsense and authority isn’t rel- evant here. Instead, non-repudiation means someone can’t say they didn’t send a message if it was signed with their key and that key was in their possession and password-protected."
53,D,D,1,,,,"What is a viable approach to protecting against tailgaiting? 
A. Biometrics 
B.Badge access 
C.Phone verification 
D.Man traps","The correct answer is D.
 Biometrics and badge access are forms of physical access control. Phone verification could possibly be used as a way of verifying identity but it won’t protect against tailgating. A man trap, however, will protect against tailgating because a man trap only allows one person in at a time."
54,B,B,1,,,,"Why is bluesnarfing potentially more dangerous than bluejacking? 
A. Bluejacking sends while bluesnarfing receives. 
B.Bluejacking receives while bluesnarfing sends. 
C.Bluejacking installs keyloggers. 
D.Bluesnarfing installs keyloggers.","The correct answer is B.
 Bluesnarfing is an attack that connects to a Bluetooth device in order to grab data from that device. Bluejacking can be used to send information to a Bluetooth device that is receiving from the attacker, such as a text message. Neither of these attacks install keylog- gers. The victim device sends information to the attacker in a bluesnarfing attack."
55,B,B,1,,,,"Which of the security triad properties does the Biba security model relate to? 
A. Confidentiality 
B.Integrity 
C.Availability 
D.All of them","The correct answer is B.
 The Biba security model covers data integrity. While other models cover confidentiality, none of them cover availability."
56,A,A,1,,,,"Which of these devices would not be considered part of the Internet of Things? 
A. Smartphone 
B.Thermostat 
C.Light bulb 
D.Set-top cable box","The correct answer is A.
 A thermostat is an embedded device without a traditional user interface. A light bulb would have no user interface, even if it has network capabilities. A set-top cable box would have a custom interface and not a general-purpose one. The only device here that is a general-purpose computing platform with a traditional user interface—screen and keyboard—is the smartphone, so it isn’t part of the IoT."
57,D,D,1,,,,"If you wanted a lightweight protocol to send real-time data over, which of these would you use? 
A. TCP 
B.HTTP 
C.ICMP 
D.UDP","The correct answer is D.
 TCP uses a three-way handshake, which is fairly heavyweight. HTTP uses TCP and adds more on top of it. ICMP is used for control messages. UDP has very little overhead and is commonly used for real-time data transport."
58,B,B,1,,,,"What order, from bottom to top, does the TCP/IP architecture use? 
A. Network Access, Network, Transport, Application 
B.Link, Internet, Transport, Application 
C.Physical, Network, Session, Application 
D.Data Link, Internet, Transport, Application","The correct answer is B.
 From top to bottom, the TCP/IP architecture is Link, Internet, Transport, and Application. B is the only answer that reflects that."
59,B,B,1,,,,"Which of these services would be considered a storage as a service solution? 
A. Microsoft Azure 
B.iCloud 
C.Google Compute 
D.DropLeaf","The correct answer is B.
 While Microsoft Azure and Google Compute have storage capabilities, they aren’t storage as a service solutions. Drop leaf is a type of table. Dropbox is a storage as a service solution. The only one listed here that is storage as a solution is iCloud, which is Apple’s cloud storage platform."
60,B,B,1,,,,"The UDP headers contain which of the following fields? 
A. Source address, destination address, checksum, length 
B.Destination port, source port, checksum, length 
C.Flags, source port, destination port, checksum 
D.Length, checksum, flags, address","The correct answer is B.
 The IP headers include addresses. UDP headers use ports. TCP headers use flags, but UDP headers do not. The UDP headers have the source and destination port fields along with checksum and length."
61,C,C,1,,,,"What are the three steps in the TCP handshake as described by the flags set? 
A. SYN, SYN/URG, RST 
B.RST, SYN, ACK 
C.SYN, SYN/ACK, ACK 
D.SYN, SYN/ACK, ACK/URG","The correct answer is C.
 The three-way handshake is used to establish a connection. The first message has the SYN flag set and includes the sequence number. The response from the server has the ACK flag set for the SYN message that was sent from the client. The acknowledgment number is set. Additionally, in the same message, the server sends its own SYN flag and sequence number. The client then responds with an ACK message. So, the sequence is SYN, SYN/ACK, and ACK."
62,D,D,1,,,,"Which of these protocols would be used to communicate with an IoT device? 
A. ICMP 
B.SMTP 
C.Telnet 
D.HTTP","The correct answer is D.
 While ICMP may be used as part of passing control messages in case of errors in the network, it wouldn’t be used between the IoT device and a server. SMTP is an email protocol that also wouldn’t be used. Telnet is a cleartext protocol used to gain command- line access to a system. HTTP would commonly be used to pass messages between a controlling server and an IoT device."
63,D,D,1,,,,"Which network topology are you most likely to run across in a large enterprise network? 
A. Ring topology 
B.Bus topology 
C.Full mesh 
D.Star-bus hybrid","The correct answer is D.
 Ring networks were once common but are much less so now. You may find a ring network in a service provider network today. A bus topology is best suited for a smaller network. Full mesh isn’t a very common topology, in part because of the expense and complexity it brings. A star-bus hybrid would be common. An enterprise would use multiple switches that were all connected to one another over a bus, while all the endpoints would connect to the switch in a star topology."
64,B,B,1,,,,"If you were to see the subnet mask 255.255.252.0, what CIDR notation (prefix) would you use to indicate the same thing? 
A. /23 
B./22 
C./21 
D./20","The correct answer is B.
 A /23 network would be 255.255.254.0. A /21 would be 255.255.248. A /20 would be 255.255.240.0. Only a /22 would give you a 255.255.252.0 subnet mask."
65,C,C,1,,,,"Which of these addresses would be considered a private address (RFC 1918 address)? 
A. 172.128.10.5 
B.9.10.10.7 
C.172.20.128.240 
D.250.28.17.10","The correct answer is C.
 The RFC 1918 address blocks are 10.0.0.0/8, 172.16.0.0/12, and 192.168.0.0/16. The only address listed that fits into one of those address blocks is 172.20.128.240. The address block is 172.16.0.0–172.31.255.255."
66,A,A,1,,,,"If you were looking for the definitive documentation on a protocol, what would you consult? 
A. Request for Comments 
B.Manual pages 
C.Standards 
D.IEEE","The correct answer is A.
 Manual pages provide documentation for commands and programs. IEEE is the Institute for Electrical and Electronics Engineers, which does manage some protocols but isn’t documentation itself. Standards on the Internet are actually uncommon and only happen after a very long period of time. The best place to find definitive documentation about protocols seen on the Internet is in the Request for Comments (RFC) documents."
67,D,D,1,,,,"The PDU for TCP is called a 
A. Packet 
B.Datagram 
C.Frame 
D.Segment","The correct answer is D.
 At the Network layer, the PDU is a packet. The Network layer is IP. At the Data Link layer, the PDU is a frame. Commonly, the protocol would be Ethernet there. UDP uses datagram as the PDU. TCP uses segment for the PDU."
68,B,B,1,,,,"Which header field is used to reassemble fragmented IP packets? 
A. Source address 
B.IP identification 
C.Don’t fragment bit 
D.Acknowledgment field","The correct answer is B.
 The source address is used as the address to send back to on the response, making it the destination address. The don’t fragment bit is used to tell network devices not to fragment the packet. The acknowledgment field is part of the TCP header and not the IP header. The IP identification field is used to identify fragments of the same packet, as they would all have the same IP identification number."
69,C,C,1,,,,"Which protocol is necessary to enable the functionality of traceroute? 
A. HTTP 
B.SNMP 
C.ICMP 
D.IP","The correct answer is C.
 The traceroute program uses UDP messages with the time to live field starting at 1. This is incremented for each hop in the network until the destination is reached. Each device would send an ICMP time exceeded in transit message back to indicate the TTL had expired. The source of that message indicates the address of the network hop. On Windows systems, tracert uses ICMP echo request messages, also incrementing the time to live value. Because of these two factors, traceroute requires ICMP to work."
70,D,D,1,,,,"What is a MAC address used for? 
A. Addressing systems over a VPN 
B.Addressing systems through a tunnel 
C.Addressing systems over TCP 
D.Addressing systems on the local network","The correct answer is D.
 Systems over a VPN may use a MAC address but they may also use IP addresses. The same would be true for a tunnel. Using TCP, we would use ports for addressing. On the local network, the MAC address is used."
71,C,C,1,,,,"To remove malware from the network before it gets to the endpoint, you would use which of the following? 
A. Packet filter 
B.Application layer gateway 
C.Unified threat management appliance 
D.Stateful firewall","The correct answer is C.
 Packet filters are used to make block/allow decisions based on header data like source and destination address and port. Stateful firewalls add in the ability to factor in the state of the connection—new, related, established. An Application layer gateway knows about Application layer protocols. A unified threat management appliance adds additional capabilities on top of firewall functions, including antivirus."
72,D,D,1,,,,"If you were on a client engagement and discovered that you left an external hard drive with essential data on it at home, which security principle would you be violating? 
A. Confidentiality 
B.Integrity 
C.Non-repudiation 
D.Availability","The correct answer is D.
 Confidentiality is about making sure secrets are kept secret. Integrity makes sure that data isn’t altered accidentally or by an unauthorized agent. Non-repudiation makes sure someone can’t say a message didn’t originate with them if it came from their identity. Availability means making sure data is where it needs to be when it should be there. This includes services as well."
73,A,A,1,,,,"How would you calculate risk? 
A. Probability * loss value 
B.Probability * mitigation factor 
C.(Loss value + mitigation factor) * (loss value/probability) 
D.Probability * mitigation factor","The correct answer is A.
 Risk is the probability of the occurrence of an event multiplied by the dollar value of loss. There is no mitigation factor that is quantified, so it could be put into a risk calculation."
74,D,D,1,,,,"Which of the following is one factor of a defense in depth approach to network design? 
A. Switches 
B.Using Linux on the desktop 
C.Optical cable connections 
D.Access control lists on routers","The correct answer is D.
 Switches and optical cable connections can certainly be part of a network design, but in and of themselves they don’t add any security features. You may use Linux on the desktop, but without more of a strategy for patch and vulnerability management, Linux is no better than other operating systems. Access control lists on routers can add an additional layer of security, especially when combined with other elements like firewalls and intrusion detection systems."
75,B,B,1,,,,"How would you ensure that confidentiality is implemented in an organization? 
A. Watchdog processes 
B.Encryption 
C.Cryptographic hashes 
D.Web servers","The correct answer is B.
 Confidentiality is keeping secret information secret, which means unauthorized users can’t access it. Encryption is a good way to keep unauthorized users from data because in order to get to the data, they need to have the key. Watchdog processes are used to ensure that programs remain running. Cryptographic hashes are used to verify the integrity of data. Web servers are used to serve up information."
76,C,C,1,,,,"An intrusion detection system can perform which of the following functions? 
A. Block traffic 
B.Filter traffic based on headers 
C.Generate alerts on traffic 
D.Log system messages","The correct answer is C.
 Firewalls are used to block traffic into a network, though an intrusion prevention system will also block traffic. A packet filtering firewall uses header information, such as source and destination address and port, to determine whether to allow traffic into the network. Syslog and the Windows event subsystem can be used to log system messages. Intrusion detection systems can be used to generate alerts on traffic."
77,D,D,1,,,,"Which of these would be an example of a loss of integrity? 
A. User making changes to a file and saving it 
B.Bad blocks flagged on disk 
C.Credit cards passed in cleartext 
D.Memory failures causing disk drivers to run incorrectly","The correct answer is D.
 If a user makes a change to a file and saves it, that’s an intentional act and the data is what the user expects and wants. If the disk drive has flagged bad blocks on the disk, the drive won’t write any data out to those blocks, so there will be no loss of integrity. Credit cards passed in cleartext would be a violation of confidentiality. Memory failures, though, could cause a loss of data integrity, even in the case of writing data to the drive. The corrupted data in memory could be written to disk. Also, memory failures may cause issues with the disk driver, which may also cause data corruption."
78,A,A,1,,,,"What would you use a security information event manager for? 
A. Aggregating and providing search for log data 
B.Managing security projects 
C.Escalating security events 
D.Storing open-source intelligence","The correct answer is A.
 Security information event managers are used to aggregate event data, such as log information. Once the data has been aggregated, it can be searched and correlated. Even though it’s called an event manager, it isn’t used to manage security projects, nor is it used to escalate security events. Other tools can be used to gather and store open-source intelligence."
79,C,C,1,,,,"Why is it important to store system logs remotely? 
A. Local systems can’t handle it. 
B.Bandwidth is faster than disks. 
C.Attackers might delete local logs. 
D.It will defend against attacks.","The correct answer is C.
 Commonly, system logs are stored on the system that generated the log message. Certainly local systems can handle the logs they have generated. Log messages don’t typically consume a lot of space at an individual message level, so bandwidth isn’t a problem. Transmitting over a network is generally not faster than moving data within local disks. System logs can be used in identifying attacks, but the logs won’t defend against attacks. However, if an attacker does compromise a system, the attacker may delete the local logs because they could get access to them."
80,B,B,1,,,,"What would be necessary for a TCP conversation to be considered ESTABLISHED by a stateful firewall? 
A. Final acknowledgment message 
B.Three-way handshake complete 
C.Sequence numbers aligned 
D.SYN message received","The correct answer is B.
 In TCP, a three-way handshake is used to synchronize sequence numbers and establish a connection. While the sequence numbers are shared, they wouldn’t be called aligned, which might suggest that each end was using the same sequence number. A SYN message is part of the three-way handshake, but it is not sufficient to establish a connection. Option A, “Final acknowledgment message,” is ambiguous. It could refer to the acknowledgment to a FIN message, closing the connection."
81,A,A,1,,,,"What is the purpose of a security policy? 
A. To provide high-level guidance on the role of security 
B.To provide specific direction to security workers 
C.To increase the bottom line of a company 
D.To align standards and practices","The correct answer is A.
 Standards and practices should be derived from a security policy, which is the high- level guidance on the role of security within an organization. Security does not generally increase the bottom line of a company. Policies are not for providing specific directions, which would be the role of procedures."
82,C,C,1,,,,"What additional properties does the Parkerian hexad offer over the CIA triad? 
A. Confidentiality, awareness, authenticity 
B.Utility, awareness, possession 
C.Utility, possession, authenticity 
D.Possession, control, authenticity","The correct answer is C.
 The Parkerian hexad takes the confidentiality, integrity, and availability of the CIA triad and adds utility, possession (or control), and authenticity."
83,D,D,1,,,,"What important event can be exposed by enabling auditing? 
A. System shutdown 
B.Service startup 
C.Package installation 
D.User login","The correct answer is D.
 While system shutdown, service startup, and package installation may be events that are logged, they are generally logged by normal system logging. Auditing functions are different between Windows and Linux/Unix, but audit systems for both will generate logs when a user logs into a system."
84,B,B,1,,,,"What can an intrusion prevention system do that an intrusion detection system can’t? 
A. Generate alerts 
B.Block or reject network traffic 
C.Complete the three-way handshake to bogus messages 
D.Log packets","The correct answer is B.
 While an intrusion prevention system can generate alerts, so can an intrusion detection system. Both systems may also be able to log packets, as needed. A bogus message likely wouldn’t result in a completed three-way handshake, and the handshake shouldn’t be completed anyway. An intrusion prevention system can, however, block or reject network traffic, while an intrusion detection system can’t."
85,A,A,1,,,,"Which of these is an example of an application layer gateway? 
A. Web application firewall 
B.Runtime application self-protection 
C.Java applet 
D.Intrusion prevention system","The correct answer is A.
 Runtime application self-protection is a plug-in used on an application server to prevent bad messages from impacting the application. A Java applet is an implementation of a Java program. An intrusion prevention system is used to detect and block potential intrusions. A web application firewall, however, makes decisions based on Application layer traffic and will either allow or block that traffic. This makes it an Application layer gateway."
86,C,C,1,,,,"Which information would a packet filter use to make decisions about what traffic to allow into the network? 
A. HTTP REQUEST message 
B.Ethernet type 
C.UDP source port 
D.SNMP OID","The correct answer is C.
 A packet filter would use layer 2/3/4 headers to make decisions. An HTTP REQUEST message is at the Application layer (layer 7). Ethernet type isn’t used to make decisions in a packet filter. SNMP OID is also an Application layer message. A packet filter would, though, use source or destination ports, potentially, to make decisions about allowing or blocking a packet."
87,C,C,1,,,,"Which of the following products might be used as an intrusion detection system? 
A. Elastic Stack 
B.Prewikka 
C.Snort 
D.Snorby","The correct answer is C.
 ElasticStack is an implementation of a security information event manager. Prewikka can be used along with an intrusion detection system as a dashboard. Snorby is an auxiliary program used with Snort. Snort is an intrusion detection program."
88,D,D,1,,,,"Which of these isn’t an example of an attack that compromises integrity? 
A. Buffer overflow 
B.Man in the middle 
C.Heap spraying 
D.Watering hole","The correct answer is D.
 A buffer overflow attack is used to execute attacker-supplied code by altering the return address in the stack. A man in the middle attack can be used to intercept and potentially alter a conversation between two systems. A heap spraying attack sends a lot of data into the heap to overwrite what’s there. A watering hole attack does not compromise integrity since its purpose is to introduce malware to a system. The malware might eventually compromise integrity, but the watering hole attack itself does not."
89,B,B,1,,,,"What type of attack is a compromise of availability? 
A. Watering hole 
B.DoS 
C.Phishing 
D.Buffer overflow","The correct answer is B.
 A watering hole attack looks to compromise a system that visits a website. A phishing attack looks to gather information from victims, potentially by compromising the victim’s system. A buffer overflow attack tries to introduce code provided by the attacker. A denial of service attack, however, has the intention of making a service unavailable for users."
90,C,C,1,,,,"If you were implementing defense in breadth, what might you do? 
A. Install multiple firewalls 
B.Install intrusion detection systems 
C.Introduce a DevSecOps culture 
D.Ensure policies are up to date","The correct answer is C.
 Installing multiple firewalls and intrusion detection systems and ensuring that policies are up to date are all elements of a defense in depth approach. Introducing a DevSecOps culture may be an attempt to reduce the number of vulnerabilities and also get them resolved more quickly. As such, it might be considered defense in breadth."
91,B,B,1,,,,"If you were checking on the IP addresses for a company in France, what RIR would you be checking with for details? 
A. ARIN 
B.RIPE 
C.AfriNIC 
D.LACNIC","The correct answer is B.
 France is in Europe, and as such, it falls under the jurisdiction of RIPE. ARIN handles North America. AfriNIC handles Africa, and LACNIC handles Latin America and parts of the Caribbean."
